town,office,district,party,candidate,votes
Cumberland,President,,REP,Donald J. Trump,8418
Cumberland,President,,Lib,Jo Jorgensen,206
Cumberland,President,,NON,WRITE-IN,102
Cumberland,President,,All,Roque &quot;Rocky&quot; De La Fuente,38
Cumberland,President,,AS,Brian Carroll,27
Cumberland,President,,S&L,Gloria La Riva,18
Cumberland,U.S. Senate,,DEM,John F. Reed,11640
Cumberland,U.S. Senate,,REP,Allen R. Waters,7089
Cumberland,U.S. Senate,,NON,WRITE-IN,26
Cumberland,U.S. House,1,DEM,David N. Cicilline,11087
Cumberland,U.S. House,1,Ind,Frederick Wysocki,3653
Cumberland,U.S. House,1,Ind,Jeffrey Edward Lemire,3051
Cumberland,U.S. House,1,NON,WRITE-IN,153
Cumberland,State Senate,19,DEM,Ryan W. Pearson,10345
Cumberland,State Senate,19,NON,WRITE-IN,510
Cumberland,State Senate,20,DEM,Roger A. Picard,4126
Cumberland,State Senate,20,NON,WRITE-IN,157
Cumberland,State House,45,DEM,Mia A. Ackerman,3982
Cumberland,State House,45,NON,WRITE-IN,197
Cumberland,State House,51,DEM,Robert D. Phillips,371
Cumberland,State House,51,NON,WRITE-IN,26
Cumberland,State House,52,DEM,Alex D. Marszalkowski,4476
Cumberland,State House,52,REP,Christopher J. Hogan,3740
Cumberland,State House,52,Ind,Daniel P. Baglini,533
Cumberland,State House,52,NON,WRITE-IN,4
Cumberland,State House,57,DEM,James N. McLaughlin,3463
Cumberland,State House,57,NON,WRITE-IN,105
Cumberland,Mayor TOWN OF CUMBERLAND,,DEM,Jeffrey J. Mutter,15594
Cumberland,Mayor TOWN OF CUMBERLAND,,NON,WRITE-IN,564
Cumberland,Town Council At-Large TOWN OF CUMBERLAND,,DEM,Peter J. Bradley,11430
Cumberland,Town Council At-Large TOWN OF CUMBERLAND,,DEM,Michael L. Kinch,11159
Cumberland,Town Council At-Large TOWN OF CUMBERLAND,,NON,WRITE-IN,531
Cumberland,Town Council District 1 Cumberland,,Ind,James K. Metivier,1711
Cumberland,Town Council District 1 Cumberland,,DEM,James T. Higgins,985
Cumberland,Town Council District 1 Cumberland,,NON,WRITE-IN,18
Cumberland,Town Council District 2 Cumberland,,DEM,"Timothy C. Magill, Jr.",3296
Cumberland,Town Council District 2 Cumberland,,NON,WRITE-IN,83
Cumberland,Town Council District 3 Cumberland,,DEM,Lisa A. Beaulieu,2736
Cumberland,Town Council District 3 Cumberland,,NON,WRITE-IN,77
Cumberland,Town Council District 4 Cumberland,,REP,Scott R. Schmitt,3455
Cumberland,Town Council District 4 Cumberland,,NON,WRITE-IN,124
Cumberland,Town Council District 5 Cumberland,,DEM,"Robert G. Shaw, Jr.",2762
Cumberland,Town Council District 5 Cumberland,,NON,WRITE-IN,104
Cumberland,Non-Partisan School Committee At-Large,,Ind,Kerry E. Feather,11679
Cumberland,Non-Partisan School Committee At-Large,,NON,Paul DiModica,10675
Cumberland,Non-Partisan School Committee At-Large,,NON,WRITE-IN,569
Cumberland,Non-Partisan School Committee District 1 Cumberland,,NON,Mark Fiorillo,2122
Cumberland,Non-Partisan School Committee District 1 Cumberland,,NON,WRITE-IN,49
Cumberland,Non-Partisan School Committee District 2 Cumberland,,NON,Karen A. Freedman,3118
Cumberland,Non-Partisan School Committee District 2 Cumberland,,NON,WRITE-IN,52
Cumberland,Non-Partisan School Committee District 3 Cumberland,,NON,Keri L. Smith,2677
Cumberland,Non-Partisan School Committee District 3 Cumberland,,NON,WRITE-IN,36
Cumberland,Non-Partisan School Committee District 4 Cumberland,,NON,WRITE-IN,623
Cumberland,Non-Partisan School Committee District 5 Cumberland,,NON,Denis Joseph Collins,2737
Cumberland,Non-Partisan School Committee District 5 Cumberland,,NON,WRITE-IN,64
Cumberland,Non-Partisan Fire Committee At-Large TOWN OF CUMBERLAND,,NON,Dana L. Jones,11434
Cumberland,Non-Partisan Fire Committee At-Large TOWN OF CUMBERLAND,,NON,Paul W. Santoro,11078
Cumberland,Non-Partisan Fire Committee At-Large TOWN OF CUMBERLAND,,NON,WRITE-IN,235
Cumberland,Non-Partisan Fire Committee District 1 Cumberland,,NON,WRITE-IN,330
Cumberland,Non-Partisan Fire Committee District 2 Cumberland,,NON,Timothy E. Hogan,3188
Cumberland,Non-Partisan Fire Committee District 2 Cumberland,,NON,WRITE-IN,34
Cumberland,Non-Partisan Fire Committee District 3 Cumberland,,NON,Cynthia Marian Ouellette,1645
Cumberland,Non-Partisan Fire Committee District 3 Cumberland,,NON,James E. Scullin,1258
Cumberland,Non-Partisan Fire Committee District 3 Cumberland,,NON,WRITE-IN,23
Cumberland,Non-Partisan Fire Committee District 4 Cumberland,,NON,Phillip C. Koutsogiane,3199
Cumberland,Non-Partisan Fire Committee District 4 Cumberland,,NON,WRITE-IN,43
Cumberland,Non-Partisan Fire Committee District 5 Cumberland,,NON,Vincent M. Picone,2767
Cumberland,Non-Partisan Fire Committee District 5 Cumberland,,NON,WRITE-IN,44
Cumberland,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,9180
Cumberland,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,8997
Cumberland,2. RECREATIONAL AREAS IN THE TOWN,,NON,Approve,14099
Cumberland,2. RECREATIONAL AREAS IN THE TOWN,,NON,Reject,4000
East Greenwich,President,,DEM,Joseph R. Biden,5218
East Greenwich,President,,REP,Donald J. Trump,3227
East Greenwich,President,,Lib,Jo Jorgensen,104
East Greenwich,President,,NON,WRITE-IN,73
East Greenwich,President,,All,Roque &quot;Rocky&quot; De La Fuente,9
East Greenwich,President,,AS,Brian Carroll,8
East Greenwich,President,,S&L,Gloria La Riva,8
East Greenwich,U.S. Senate,,DEM,John F. Reed,5451
East Greenwich,U.S. Senate,,REP,Allen R. Waters,2993
East Greenwich,U.S. Senate,,NON,WRITE-IN,4
East Greenwich,U.S. House,2,DEM,James R. Langevin,5007
East Greenwich,U.S. House,2,REP,Robert B. Lancia,3401
East Greenwich,U.S. House,2,NON,WRITE-IN,12
East Greenwich,State Senate,33,DEM,Leonidas P. Raptakis,341
East Greenwich,State Senate,33,NON,WRITE-IN,14
East Greenwich,State Senate,35,DEM,Bridget G. Valverde,4459
East Greenwich,State Senate,35,REP,Charles P. Callanan,3415
East Greenwich,State Senate,35,NON,WRITE-IN,14
East Greenwich,State House,30,DEM,Justine A. Caldwell,4470
East Greenwich,State House,30,REP,Antonio Giarrusso,3889
East Greenwich,State House,30,NON,WRITE-IN,12
East Greenwich,Town Council TOWN OF EAST GREENWICH,,DEM,Mark Schwager,5355
East Greenwich,Town Council TOWN OF EAST GREENWICH,,DEM,Michael J. Zarrella,5227
East Greenwich,Town Council TOWN OF EAST GREENWICH,,DEM,Michael P. Donegan,4987
East Greenwich,Town Council TOWN OF EAST GREENWICH,,DEM,Renu R. Englehart,4900
East Greenwich,Town Council TOWN OF EAST GREENWICH,,DEM,Caryn P. Corenthal,4881
East Greenwich,Town Council TOWN OF EAST GREENWICH,,NON,WRITE-IN,433
East Greenwich,School Committee TOWN OF EAST GREENWICH,,DEM,Kevin Barry Murphy,4953
East Greenwich,School Committee TOWN OF EAST GREENWICH,,DEM,William J. Hangan,4342
East Greenwich,School Committee TOWN OF EAST GREENWICH,,DEM,Timothy F. Munoz,4252
East Greenwich,School Committee TOWN OF EAST GREENWICH,,REP,Monica M. Mason,3515
East Greenwich,School Committee TOWN OF EAST GREENWICH,,NON,WRITE-IN,132
East Greenwich,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,4688
East Greenwich,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,3513
East Providence,President,,DEM,Joseph R. Biden,14735
East Providence,President,,REP,Donald J. Trump,7930
East Providence,President,,Lib,Jo Jorgensen,204
East Providence,President,,NON,WRITE-IN,132
East Providence,President,,All,Roque &quot;Rocky&quot; De La Fuente,58
East Providence,President,,S&L,Gloria La Riva,49
East Providence,President,,AS,Brian Carroll,45
East Providence,U.S. Senate,,DEM,John F. Reed,15663
East Providence,U.S. Senate,,REP,Allen R. Waters,6363
East Providence,U.S. Senate,,NON,WRITE-IN,47
East Providence,U.S. House,1,DEM,David N. Cicilline,15213
East Providence,U.S. House,1,Ind,Frederick Wysocki,3587
East Providence,U.S. House,1,Ind,Jeffrey Edward Lemire,2555
East Providence,U.S. House,1,NON,WRITE-IN,183
East Providence,State Senate,14,DEM,Valarie J. Lawson,8062
East Providence,State Senate,14,Ind,Major Pettaway,3017
East Providence,State Senate,14,NON,WRITE-IN,68
East Providence,State Senate,18,DEM,Cynthia M. Mendes,6310
East Providence,State Senate,18,NON,WRITE-IN,398
East Providence,State Senate,32,DEM,Cynthia Armour Coyne,1796
East Providence,State Senate,32,NON,WRITE-IN,111
East Providence,State House,63,DEM,Katherine S. Kazarian,5740
East Providence,State House,63,NON,WRITE-IN,247
East Providence,State House,64,DEM,Brianna E. Henries,4264
East Providence,State House,64,NON,WRITE-IN,215
East Providence,State House,65,DEM,Gregg Amore,5691
East Providence,State House,65,NON,WRITE-IN,231
East Providence,State House,66,DEM,Liana M. Cassar,1910
East Providence,State House,66,NON,WRITE-IN,140
East Providence,School Committee-At-Large CITY OF EAST PROVIDENCE,,NON,Joel N. Monteiro,10465
East Providence,School Committee-At-Large CITY OF EAST PROVIDENCE,,NON,Chrissy Rossi,9395
East Providence,School Committee-At-Large CITY OF EAST PROVIDENCE,,NON,WRITE-IN,167
East Providence,School Committee Ward 1 East Providence,,NON,Charles S. Tsonos,3066
East Providence,School Committee Ward 1 East Providence,,NON,"Michael J. Budziszek, Jr.",1926
East Providence,School Committee Ward 1 East Providence,,NON,WRITE-IN,70
East Providence,School Committee Ward 2 East Providence,,NON,Max D. Brandle,2034
East Providence,School Committee Ward 2 East Providence,,NON,Anthony J. Ferreira,1985
East Providence,School Committee Ward 2 East Providence,,NON,WRITE-IN,28
East Providence,School Committe Ward 3 East Providence,,NON,Jenni Azanero,2519
East Providence,School Committe Ward 3 East Providence,,NON,Francis E. Fogarty,2207
East Providence,School Committe Ward 3 East Providence,,NON,WRITE-IN,41
East Providence,School Committee Ward 4 East Providence,,NON,Jessica Beauchaine,4866
East Providence,School Committee Ward 4 East Providence,,NON,WRITE-IN,141
East Providence,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,11352
East Providence,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,8927
East Providence,2. Charter Commission CITY OF EAST PROVIDENCE,,NON,Approve,12951
East Providence,2. Charter Commission CITY OF EAST PROVIDENCE,,NON,Reject,6250
Exeter,President,,REP,Donald J. Trump,2009
Exeter,President,,DEM,Joseph R. Biden,1974
Exeter,President,,Lib,Jo Jorgensen,55
Exeter,President,,NON,WRITE-IN,23
Exeter,President,,All,Roque &quot;Rocky&quot; De La Fuente,9
Exeter,President,,AS,Brian Carroll,8
Exeter,President,,S&L,Gloria La Riva,4
Exeter,U.S. Senate,,DEM,John F. Reed,2165
Exeter,U.S. Senate,,REP,Allen R. Waters,1785
Exeter,U.S. Senate,,NON,WRITE-IN,1
Exeter,U.S. House,2,DEM,James R. Langevin,1979
Exeter,U.S. House,2,REP,Robert B. Lancia,1968
Exeter,U.S. House,2,NON,WRITE-IN,0
Exeter,State Senate,34,REP,Elaine J. Morgan,2143
Exeter,State Senate,34,DEM,Jennifer C. Douglas,1749
Exeter,State Senate,34,NON,WRITE-IN,1
Exeter,State House,31,DEM,Julie A. Casimiro,847
Exeter,State House,31,NON,WRITE-IN,44
Exeter,State House,39,REP,Justin K. Price,1460
Exeter,State House,39,DEM,Megan L. Cotter,1291
Exeter,State House,39,NON,WRITE-IN,0
Exeter,Town Moderator TOWN OF EXETER,,DEM,Peter V. Lacouture,2980
Exeter,Town Moderator TOWN OF EXETER,,NON,WRITE-IN,79
Exeter,Town Clerk TOWN OF EXETER,,DEM,Lynn M. Hawkins,3108
Exeter,Town Clerk TOWN OF EXETER,,NON,WRITE-IN,67
Exeter,School Committee TOWN OF EXETER,,REP,Paul R. McFadden,2371
Exeter,School Committee TOWN OF EXETER,,REP,Michael J. Picillo,2223
Exeter,School Committee TOWN OF EXETER,,NON,WRITE-IN,72
Exeter,Town Council TOWN OF EXETER,,REP,Michael A. Lefebvre,1892
Exeter,Town Council TOWN OF EXETER,,DEM,Calvin A. Ellis,1809
Exeter,Town Council TOWN OF EXETER,,REP,Daniel W. Patterson,1746
Exeter,Town Council TOWN OF EXETER,,DEM,Olivia DeFrancesco,1692
Exeter,Town Council TOWN OF EXETER,,REP,"Francis T. Maher, Jr.",1610
Exeter,Town Council TOWN OF EXETER,,DEM,Manuel Andrews,1453
Exeter,Town Council TOWN OF EXETER,,Ind,Francis P. DiGregorio,1452
Exeter,Town Council TOWN OF EXETER,,Ind,"Raymond A. Morrissey, Jr.",1441
Exeter,Town Council TOWN OF EXETER,,DEM,Robert M. Conn,1366
Exeter,Town Council TOWN OF EXETER,,Ind,Andrew M. Patty,1275
Exeter,Town Council TOWN OF EXETER,,NON,WRITE-IN,36
Exeter,Town Sergeant TOWN OF EXETER,,Ind,William Gilbert Donovan,3160
Exeter,Town Sergeant TOWN OF EXETER,,NON,WRITE-IN,22
Exeter,Town Treasurer TOWN OF EXETER,,DEM,Maria Lawler,3014
Exeter,Town Treasurer TOWN OF EXETER,,NON,WRITE-IN,52
Exeter,Director Of Social Services TOWN OF EXETER,,Ind,Jessica Leah DeMartino,3067
Exeter,Director Of Social Services TOWN OF EXETER,,NON,WRITE-IN,12
Exeter,Zoning Inspector TOWN OF EXETER,,REP,Hal Morgan,3096
Exeter,Zoning Inspector TOWN OF EXETER,,NON,WRITE-IN,51
Exeter,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,2174
Exeter,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,1612
Foster,President,,REP,Donald J. Trump,1582
Foster,President,,DEM,Joseph R. Biden,1224
Foster,President,,Lib,Jo Jorgensen,34
Foster,President,,All,Roque &quot;Rocky&quot; De La Fuente,10
Foster,President,,NON,WRITE-IN,9
Foster,President,,AS,Brian Carroll,4
Foster,President,,S&L,Gloria La Riva,2
Foster,U.S. Senate,,REP,Allen R. Waters,1407
Foster,U.S. Senate,,DEM,John F. Reed,1330
Foster,U.S. Senate,,NON,WRITE-IN,2
Foster,U.S. House,2,REP,Robert B. Lancia,1506
Foster,U.S. House,2,DEM,James R. Langevin,1226
Foster,U.S. House,2,NON,WRITE-IN,4
Foster,State Senate,21,REP,Gordon E. Rogers,1918
Foster,State Senate,21,NON,WRITE-IN,215
Foster,State House,40,REP,Michael W. Chippendale,1829
Foster,State House,40,DEM,Linda A. Nichols,910
Foster,State House,40,NON,WRITE-IN,4
Foster,Town Moderator TOWN OF FOSTER,,REP,Robert A. Boyden,2117
Foster,Town Moderator TOWN OF FOSTER,,NON,WRITE-IN,66
Foster,Town Clerk TOWN OF FOSTER,,REP,Susan M. Dillon,2156
Foster,Town Clerk TOWN OF FOSTER,,NON,WRITE-IN,62
Foster,Town Council TOWN OF FOSTER,,REP,Heidi Rogers,1402
Foster,Town Council TOWN OF FOSTER,,REP,David A. Paolino,1366
Foster,Town Council TOWN OF FOSTER,,REP,Denise L. DiFranco,1352
Foster,Town Council TOWN OF FOSTER,,REP,Christie H. Stone,1301
Foster,Town Council TOWN OF FOSTER,,DEM,Cheryl A. Hawes,1246
Foster,Town Council TOWN OF FOSTER,,DEM,Gail M. Lawson,1165
Foster,Town Council TOWN OF FOSTER,,REP,Robert A. Moreau,1159
Foster,Town Council TOWN OF FOSTER,,DEM,Anthony J. Renzi,1135
Foster,Town Council TOWN OF FOSTER,,Ind,"Marvin J. Nadiger, Jr.",1037
Foster,Town Council TOWN OF FOSTER,,NON,WRITE-IN,66
Foster,Non-Partisan School Committee TOWN OF FOSTER,,NON,Brendan Scott Mara,1992
Foster,Non-Partisan School Committee TOWN OF FOSTER,,NON,WRITE-IN,33
Foster,Town Sergeant TOWN OF FOSTER,,DEM,Michael Coggeshall,1353
Foster,Town Sergeant TOWN OF FOSTER,,REP,Kevin J. Donovan,1278
Foster,Town Sergeant TOWN OF FOSTER,,NON,WRITE-IN,4
Foster,Tax Board Of Review TOWN OF FOSTER,,DEM,Lynne Stender Rider,1929
Foster,Tax Board Of Review TOWN OF FOSTER,,NON,WRITE-IN,97
Foster,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,1668
Foster,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,977
Foster,2. COUNCIL TERMS TOWN OF FOSTER,,NON,No,1452
Foster,2. COUNCIL TERMS TOWN OF FOSTER,,NON,Yes,1167
Foster,3. CLERK TERMS TOWN OF FOSTER,,NON,Yes,1362
Foster,3. CLERK TERMS TOWN OF FOSTER,,NON,No,1255
Foster,4. ANNUAL APPROPRIATIONS TOWN OF FOSTER,,NON,No,1420
Foster,4. ANNUAL APPROPRIATIONS TOWN OF FOSTER,,NON,Yes,1124
Foster,5. TOWN TREASURER NAME CHANGE TOWN OF FOSTER,,NON,No,1326
Foster,5. TOWN TREASURER NAME CHANGE TOWN OF FOSTER,,NON,Yes,1268
Foster,6. TOWN PURCHASES TOWN OF FOSTER,,NON,Yes,1583
Foster,6. TOWN PURCHASES TOWN OF FOSTER,,NON,No,904
Glocester,President,,REP,Donald J. Trump,3351
Glocester,President,,DEM,Joseph R. Biden,2638
Glocester,President,,Lib,Jo Jorgensen,62
Glocester,President,,NON,WRITE-IN,38
Glocester,President,,All,Roque &quot;Rocky&quot; De La Fuente,10
Glocester,President,,AS,Brian Carroll,8
Glocester,President,,S&L,Gloria La Riva,6
Glocester,U.S. Senate,,REP,Allen R. Waters,2971
Glocester,U.S. Senate,,DEM,John F. Reed,2910
Glocester,U.S. Senate,,NON,WRITE-IN,9
Glocester,U.S. House,2,REP,Robert B. Lancia,3187
Glocester,U.S. House,2,DEM,James R. Langevin,2673
Glocester,U.S. House,2,NON,WRITE-IN,11
Glocester,State Senate,23,REP,Jessica de la Cruz,3916
Glocester,State Senate,23,DEM,Paul A. Roselli,1970
Glocester,State Senate,23,NON,WRITE-IN,20
Glocester,State House,40,REP,Michael W. Chippendale,2686
Glocester,State House,40,DEM,Linda A. Nichols,1391
Glocester,State House,40,NON,WRITE-IN,4
Glocester,State House,47,REP,David J. Place,369
Glocester,State House,47,NON,WRITE-IN,11
Glocester,State House,53,REP,Brian J. Rea,713
Glocester,State House,53,DEM,Bernard A. Hawkins,631
Glocester,State House,53,NON,WRITE-IN,2
Glocester,Town Clerk TOWN OF GLOCESTER,,REP,Jean M. Fecteau,5079
Glocester,Town Clerk TOWN OF GLOCESTER,,NON,WRITE-IN,91
Glocester,Non-Partisan School Committee TOWN OF GLOCESTER,,NON,Mary E. Keeling,3981
Glocester,Non-Partisan School Committee TOWN OF GLOCESTER,,NON,Jonathan E. Burlingame,3945
Glocester,Non-Partisan School Committee TOWN OF GLOCESTER,,NON,Aaron W. Dupuis,3495
Glocester,Non-Partisan School Committee TOWN OF GLOCESTER,,NON,WRITE-IN,105
Glocester,Town Council TOWN OF GLOCESTER,,REP,"Walter M. O. Steere, III",3266
Glocester,Town Council TOWN OF GLOCESTER,,REP,Julian P. Forgue,3122
Glocester,Town Council TOWN OF GLOCESTER,,Ind,William E. Reichert,3054
Glocester,Town Council TOWN OF GLOCESTER,,REP,"William A. Worthy, Jr.",2957
Glocester,Town Council TOWN OF GLOCESTER,,REP,Stephen W. Arnold,2923
Glocester,Town Council TOWN OF GLOCESTER,,Ind,David R. Laplante,2777
Glocester,Town Council TOWN OF GLOCESTER,,Ind,Michelle N. Allen,2747
Glocester,Town Council TOWN OF GLOCESTER,,NON,WRITE-IN,129
Glocester,Director Of Human Services TOWN OF GLOCESTER,,REP,John S. Luszcz,4714
Glocester,Director Of Human Services TOWN OF GLOCESTER,,NON,WRITE-IN,76
Glocester,Town Sergeant TOWN OF GLOCESTER,,REP,Kevin P. Walsh,4791
Glocester,Town Sergeant TOWN OF GLOCESTER,,NON,WRITE-IN,80
Glocester,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,3597
Glocester,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,2053
Glocester,2. COUNCIL AUTHORIZATION OF CONTRACTS TOWN OF GLOCESTER,,NON,Approve,4023
Glocester,2. COUNCIL AUTHORIZATION OF CONTRACTS TOWN OF GLOCESTER,,NON,Reject,1398
Glocester,3. LIMITATION ON ADDITIONAL EXPENDITURES,,NON,Approve,4462
Glocester,3. LIMITATION ON ADDITIONAL EXPENDITURES,,NON,Reject,994
Glocester,4. REGIONALIZATION PROPOSALS TOWN OF GLOCESTER,,NON,Approve,4378
Glocester,4. REGIONALIZATION PROPOSALS TOWN OF GLOCESTER,,NON,Reject,1012
Glocester,5. SCHOOL OVER SPENDING NOTIFICATION TOWN OF GLOCESTER,,NON,Approve,4476
Glocester,5. SCHOOL OVER SPENDING NOTIFICATION TOWN OF GLOCESTER,,NON,Reject,981
Glocester,6. HR POSITION ELIMINATED FROM FINANCE DEPT.,,NON,Approve,3611
Glocester,6. HR POSITION ELIMINATED FROM FINANCE DEPT.,,NON,Reject,1762
Glocester,7. NON-PROFIT BUDGET REQUESTS TOWN OF GLOCESTER,,NON,Approve,3868
Glocester,7. NON-PROFIT BUDGET REQUESTS TOWN OF GLOCESTER,,NON,Reject,1385
Glocester,8. COPIES OF BUDGET TOWN OF GLOCESTER,,NON,Approve,4046
Glocester,8. COPIES OF BUDGET TOWN OF GLOCESTER,,NON,Reject,1267
Glocester,9. LAND TRUST APPROPRIATION TOWN OF GLOCESTER,,NON,Reject,3261
Glocester,9. LAND TRUST APPROPRIATION TOWN OF GLOCESTER,,NON,Approve,2187
Glocester,10. FORMS OF DISCRIMINATION INCLUDED TOWN OF GLOCESTER,,NON,Approve,4139
Glocester,10. FORMS OF DISCRIMINATION INCLUDED TOWN OF GLOCESTER,,NON,Reject,1344
Glocester,11. APPOINTED TOWN PLANNER TOWN OF GLOCESTER,,NON,Approve,2931
Glocester,11. APPOINTED TOWN PLANNER TOWN OF GLOCESTER,,NON,Reject,2522
Glocester,12. APPOINTED RECREATION DIRECTOR TOWN OF GLOCESTER,,NON,Approve,3103
Glocester,12. APPOINTED RECREATION DIRECTOR TOWN OF GLOCESTER,,NON,Reject,2362
Glocester,13. APPOINTED TOWN MANAGER TOWN OF GLOCESTER,,NON,Reject,3263
Glocester,13. APPOINTED TOWN MANAGER TOWN OF GLOCESTER,,NON,Approve,2208
Hopkinton,President,,REP,Donald J. Trump,2423
Hopkinton,President,,DEM,Joseph R. Biden,2298
Hopkinton,President,,Lib,Jo Jorgensen,74
Hopkinton,President,,NON,WRITE-IN,24
Hopkinton,President,,All,Roque &quot;Rocky&quot; De La Fuente,12
Hopkinton,President,,AS,Brian Carroll,9
Hopkinton,President,,S&L,Gloria La Riva,6
Hopkinton,U.S. Senate,,DEM,John F. Reed,2522
Hopkinton,U.S. Senate,,REP,Allen R. Waters,2109
Hopkinton,U.S. Senate,,NON,WRITE-IN,8
Hopkinton,U.S. House,2,DEM,James R. Langevin,2348
Hopkinton,U.S. House,2,REP,Robert B. Lancia,2285
Hopkinton,U.S. House,2,NON,WRITE-IN,8
Hopkinton,State Senate,34,REP,Elaine J. Morgan,2507
Hopkinton,State Senate,34,DEM,Jennifer C. Douglas,2109
Hopkinton,State Senate,34,NON,WRITE-IN,8
Hopkinton,State House,38,DEM,Brian Patrick Kennedy,2154
Hopkinton,State House,38,REP,"Donald J. Kohlman, II",1748
Hopkinton,State House,38,NON,WRITE-IN,10
Hopkinton,State House,39,DEM,Megan L. Cotter,356
Hopkinton,State House,39,REP,Justin K. Price,352
Hopkinton,State House,39,NON,WRITE-IN,0
Hopkinton,Town Clerk TOWN OF HOPKINTON,,Ind,Elizabeth J. Cook-Martin,4047
Hopkinton,Town Clerk TOWN OF HOPKINTON,,NON,WRITE-IN,28
Hopkinton,Town Council TOWN OF HOPKINTON,,Ind,"Stephen C. Moffitt, Jr.",2598
Hopkinton,Town Council TOWN OF HOPKINTON,,DEM,Sharon A. Davis,2396
Hopkinton,Town Council TOWN OF HOPKINTON,,REP,Scott Bill Hirst,2151
Hopkinton,Town Council TOWN OF HOPKINTON,,REP,Michael James Geary,2070
Hopkinton,Town Council TOWN OF HOPKINTON,,Ind,Robert J. Marvel,2038
Hopkinton,Town Council TOWN OF HOPKINTON,,DEM,"Clifford W. Heil, Jr.",1982
Hopkinton,Town Council TOWN OF HOPKINTON,,Ind,Steven Wiehl,1956
Hopkinton,Town Council TOWN OF HOPKINTON,,REP,Justin D. Wilmar,1720
Hopkinton,Town Council TOWN OF HOPKINTON,,NON,WRITE-IN,76
Hopkinton,Chariho School Committee TOWN OF HOPKINTON,,Ind,Catherine M. Giusti,3789
Hopkinton,Chariho School Committee TOWN OF HOPKINTON,,NON,WRITE-IN,58
Hopkinton,Town Sergeant TOWN OF HOPKINTON,,REP,Larry C. Phelps,3509
Hopkinton,Town Sergeant TOWN OF HOPKINTON,,NON,WRITE-IN,102
Hopkinton,Director Of Public Welfare TOWN OF HOPKINTON,,Ind,Joseph Moreau,3716
Hopkinton,Director Of Public Welfare TOWN OF HOPKINTON,,NON,WRITE-IN,41
Hopkinton,Town Moderator TOWN OF HOPKINTON,,REP,Edwin Warren James,3471
Hopkinton,Town Moderator TOWN OF HOPKINTON,,NON,WRITE-IN,97
Hopkinton,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,2540
Hopkinton,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,1940
Jamestown,President,,DEM,Joseph R. Biden,2795
Jamestown,President,,REP,Donald J. Trump,1212
Jamestown,President,,Lib,Jo Jorgensen,44
Jamestown,President,,NON,WRITE-IN,19
Jamestown,President,,S&L,Gloria La Riva,10
Jamestown,President,,AS,Brian Carroll,3
Jamestown,President,,All,Roque &quot;Rocky&quot; De La Fuente,1
Jamestown,U.S. Senate,,DEM,John F. Reed,2952
Jamestown,U.S. Senate,,REP,Allen R. Waters,1028
Jamestown,U.S. Senate,,NON,WRITE-IN,6
Jamestown,U.S. House,1,DEM,David N. Cicilline,2706
Jamestown,U.S. House,1,Ind,Frederick Wysocki,671
Jamestown,U.S. House,1,Ind,Jeffrey Edward Lemire,374
Jamestown,U.S. House,1,NON,WRITE-IN,24
Jamestown,State Senate,13,DEM,Dawn M. Euer,3019
Jamestown,State Senate,13,NON,WRITE-IN,111
Jamestown,State House,74,DEM,Deborah L. Ruggiero,3164
Jamestown,State House,74,NON,WRITE-IN,107
Jamestown,Town Moderator TOWN OF JAMESTOWN,,DEM,John A. Murphy,3194
Jamestown,Town Moderator TOWN OF JAMESTOWN,,NON,WRITE-IN,70
Jamestown,Town Council TOWN OF JAMESTOWN,,DEM,Nancy A. Beye,2422
Jamestown,Town Council TOWN OF JAMESTOWN,,DEM,Mary E. Meagher,2370
Jamestown,Town Council TOWN OF JAMESTOWN,,DEM,Michael G. White,2268
Jamestown,Town Council TOWN OF JAMESTOWN,,DEM,Erik G. Brine,2187
Jamestown,Town Council TOWN OF JAMESTOWN,,DEM,Randall White,2175
Jamestown,Town Council TOWN OF JAMESTOWN,,REP,"William J. Piva, Jr.",2107
Jamestown,Town Council TOWN OF JAMESTOWN,,REP,Claudine M. Charron,1379
Jamestown,Town Council TOWN OF JAMESTOWN,,REP,Michael P. Drzal,1278
Jamestown,Town Council TOWN OF JAMESTOWN,,NON,WRITE-IN,67
Jamestown,School Committee TOWN OF JAMESTOWN,,DEM,Sally Florentino Schott,2860
Jamestown,School Committee TOWN OF JAMESTOWN,,DEM,Agnes C. Filkins,2568
Jamestown,School Committee TOWN OF JAMESTOWN,,DEM,Andrew C. Allsopp,2537
