county,precinct,office,district,candidate,party,votes,yes_votes,no_votes
Arapahoe,6273803179,U.S. Senate,,Bruce Lohmiller,Green Party,0,0,0
Arapahoe,6273803179,U.S. Senate,,Michael Sanchez,Unaffiliated,0,0,0
Arapahoe,6273803179,U.S. House,6,Steve House,Republican Party,268,0,0
Arapahoe,6273803179,U.S. House,6,Jason Crow,Democratic Party,331,0,0
Arapahoe,6273803179,U.S. House,6,Jaimie Lynn Kulikowski,Unity Party of Colorado,9,0,0
Arapahoe,6273803179,U.S. House,6,Norm Olsen,Libertarian Party,14,0,0
Arapahoe,6273803179,Regent Of The University Of Colorado - District 6,,Richard Murray,Republican Party,281,0,0
Arapahoe,6273803179,Regent Of The University Of Colorado - District 6,,Ilana Spiegel,Democratic Party,290,0,0
Arapahoe,6273803179,Regent Of The University Of Colorado - District 6,,Christopher E. Otwell,Unity Party of Colorado,22,0,0
Arapahoe,6273803179,State Senate,27,Chris Kolker,Democratic Party,322,0,0
Arapahoe,6273803179,State Senate,27,Suzanne Staiert,Republican Party,298,0,0
Arapahoe,6273803179,State House,38,David Ortiz,Democratic Party,347,0,0
Arapahoe,6273803179,State House,38,Richard Champion,Republican Party,277,0,0
Arapahoe,6273803179,District Attorney - District 18,,Amy L. Padden,Democratic Party,307,0,0
Arapahoe,6273803179,District Attorney - District 18,,John Kellner,Republican Party,294,0,0
Arapahoe,6273803179,District H Director Of Regional Transit District,,Doug Tisdale,,168,0,0
Arapahoe,6273803179,District H Director Of Regional Transit District,,Regan Byrd,,175,0,0
Arapahoe,6273803179,District H Director Of Regional Transit District,,Roger Edwards,,110,0,0
Arapahoe,6273803179,Supreme Court,,Melissa Hart,,0,390,152
Arapahoe,6273803179,Supreme Court,,Carlos A. Samour Jr.,,0,374,158
Arapahoe,6273803179,Court of Appeals,,Ted C. Tow III,,0,360,168
Arapahoe,6273803179,Court of Appeals,,Craig R. Welling,,0,355,178
Arapahoe,6273803179,"District Court, 18th Judicial District",,Michelle Ann Amico,,0,404,124
Arapahoe,6273803179,"District Court, 18th Judicial District",,Andrew Baum,,0,338,183
Arapahoe,6273803179,"District Court, 18th Judicial District",,Cynthia Dianne Mares,,0,352,173
Arapahoe,6273803179,"District Court, 18th Judicial District",,John E. Scipione,,0,366,139
Arapahoe,6273803179,"District Court, 18th Judicial District",,Theresa Michelle Slade,,0,391,120
Arapahoe,6273803179,"District Court, 18th Judicial District",,Darren L. Vahle,,0,383,129
Arapahoe,6273803179,"District Court, 18th Judicial District",,Elizabeth Beebe Volz,,0,381,127
Arapahoe,6273803179,"County Court, Arapahoe",,Chantel E. Contiguglia,,0,373,137
Arapahoe,6273803179,"County Court, Arapahoe",,Anne M. Ollada,,0,389,123
Arapahoe,6273803179,"County Court, Arapahoe",,Joshua Jay Williford,,0,382,127
Arapahoe,6273803179,Amendment B (CONSTITUTIONAL),,,,0,331,273
Arapahoe,6273803179,Amendment C (CONSTITUTIONAL),,,,0,297,294
Arapahoe,6273803179,Amendment 76 (CONSTITUTIONAL),,,,0,379,241
Arapahoe,6273803179,Amendment 77 (CONSTITUTIONAL),,,,0,351,256
Arapahoe,6273803179,Proposition EE (STATUTORY),,,,0,386,243
Arapahoe,6273803179,Proposition 113 (STATUTORY),,,,0,314,312
Arapahoe,6273803179,Proposition 114 (STATUTORY),,,,0,295,324
Arapahoe,6273803179,Proposition 115 (STATUTORY),,,,0,258,369
Arapahoe,6273803179,Proposition 116 (STATUTORY),,,,0,362,253
Arapahoe,6273803179,Proposition 117 (STATUTORY),,,,0,301,282
Arapahoe,6273803179,Proposition 118 (STATUTORY),,,,0,368,255
Arapahoe,6273803180,President,,Joseph R. Biden / Kamala D. Harris,Democratic Party,417,0,0
Arapahoe,6273803180,President,,Donald J. Trump / Michael R. Pence,Republican Party,279,0,0
Arapahoe,6273803180,President,,Don Blankenship / William Mohr,American Constitution Party,0,0,0
Arapahoe,6273803180,President,,Bill Hammons / Eric Bodenstab,Unity Party of Colorado,2,0,0
Arapahoe,6273803180,President,,Howie Hawkins / Angela Nicole Walker,Green Party,3,0,0
Arapahoe,6273803180,President,,Blake Huber / Frank Atwood,Approval Voting Party,0,0,0
Arapahoe,6273803180,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian Party,9,0,0
Arapahoe,6273803180,President,,Brian Carroll / Amar Patel,American Solidarity Party,2,0,0
Arapahoe,6273803180,President,,Mark Charles / Adrian Wallace,Unaffiliated,0,0,0
Arapahoe,6273803180,President,,Phil Collins / Billy Joe Parker,Prohibition Party,0,0,0
Arapahoe,6273803180,President,,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",Alliance Party,0,0,0
Arapahoe,6273803180,President,,Dario Hunter / Dawn Neptune Adams,Progressive Party,0,0,0
Arapahoe,6273803180,President,,Princess Khadijah Maryam Jacob-Fambro / Khadijah Maryam Jacob Sr.,Unaffiliated,0,0,0
Arapahoe,6273803180,President,,Alyson Kennedy / Malcolm Jarrett,Socialist Workers Party,0,0,0
Arapahoe,6273803180,President,,Joseph Kishore / Norissa Santa Cruz,Socialist Equality Party,0,0,0
Arapahoe,6273803180,President,,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,Independent American Party,1,0,0
Arapahoe,6273803180,President,,Gloria La Riva / Sunil Freeman,Socialism and Liberation,0,0,0
Arapahoe,6273803180,President,,Joe McHugh / Elizabeth Storm,Unaffiliated,0,0,0
Arapahoe,6273803180,President,,Brock Pierce / Karla Ballard,Unaffiliated,0,0,0
Arapahoe,6273803180,President,,"Jordan ""Cancer"" Scott / Jennifer Tepool",Unaffiliated,0,0,0
Arapahoe,6273803180,President,,Kanye West / Michelle Tidball,Unaffiliated,0,0,0
Arapahoe,6273803180,President,,Kasey Wells / Rachel Wells,No Party Affiliation,0,0,0
Arapahoe,6273803180,President,,Todd Cella / Timothy Bryan Cella,Independent,0,0,0
Arapahoe,6273803180,President,,Tom Hoefling / Andy Prior,Unaffiliated / No Party Affiliation,0,0,0
Arapahoe,6273803180,U.S. Senate,,John W. Hickenlooper,Democratic Party,396,0,0
Arapahoe,6273803180,U.S. Senate,,Cory Gardner,Republican Party,312,0,0
Arapahoe,6273803180,U.S. Senate,,Daniel Doyle,Approval Voting Party,1,0,0
Arapahoe,6273803180,U.S. Senate,,"Stephan ""Seku"" Evans",Unity Party of Colorado,1,0,0
Arapahoe,6273803180,U.S. Senate,,Raymon Anthony Doane,Libertarian Party,5,0,0
Arapahoe,6273803180,U.S. Senate,,Danny Skelly,Unaffiliated,0,0,0
Arapahoe,6273803180,U.S. Senate,,Bruce Lohmiller,Green Party,0,0,0
Arapahoe,6273803180,U.S. Senate,,Michael Sanchez,Unaffiliated,0,0,0
Arapahoe,6273803180,U.S. House,6,Steve House,Republican Party,303,0,0
Arapahoe,6273803180,U.S. House,6,Jason Crow,Democratic Party,391,0,0
Arapahoe,6273803180,U.S. House,6,Jaimie Lynn Kulikowski,Unity Party of Colorado,1,0,0
Arapahoe,6273803180,U.S. House,6,Norm Olsen,Libertarian Party,8,0,0
Arapahoe,6273803180,Regent Of The University Of Colorado - District 6,,Richard Murray,Republican Party,319,0,0
Arapahoe,6273803180,Regent Of The University Of Colorado - District 6,,Ilana Spiegel,Democratic Party,344,0,0
Arapahoe,6273803180,Regent Of The University Of Colorado - District 6,,Christopher E. Otwell,Unity Party of Colorado,11,0,0
Arapahoe,6273803180,State Senate,27,Chris Kolker,Democratic Party,385,0,0
Arapahoe,6273803180,State Senate,27,Suzanne Staiert,Republican Party,307,0,0
Arapahoe,6273803180,State House,38,David Ortiz,Democratic Party,398,0,0
Arapahoe,6273803180,State House,38,Richard Champion,Republican Party,296,0,0
Arapahoe,6273803180,District Attorney - District 18,,Amy L. Padden,Democratic Party,371,0,0
Arapahoe,6273803180,District Attorney - District 18,,John Kellner,Republican Party,309,0,0
Arapahoe,6273803180,District H Director Of Regional Transit District,,Doug Tisdale,,225,0,0
Arapahoe,6273803180,District H Director Of Regional Transit District,,Regan Byrd,,155,0,0
Arapahoe,6273803180,District H Director Of Regional Transit District,,Roger Edwards,,94,0,0
Arapahoe,6273803180,Supreme Court,,Melissa Hart,,0,453,130
Arapahoe,6273803180,Supreme Court,,Carlos A. Samour Jr.,,0,449,128
Arapahoe,6273803180,Court of Appeals,,Ted C. Tow III,,0,424,145
Arapahoe,6273803180,Court of Appeals,,Craig R. Welling,,0,419,147
Arapahoe,6273803180,"District Court, 18th Judicial District",,Michelle Ann Amico,,0,458,105
Arapahoe,6273803180,"District Court, 18th Judicial District",,Andrew Baum,,0,401,160
Arapahoe,6273803180,"District Court, 18th Judicial District",,Cynthia Dianne Mares,,0,409,152
Arapahoe,6273803180,"District Court, 18th Judicial District",,John E. Scipione,,0,439,105
Arapahoe,6273803180,"District Court, 18th Judicial District",,Theresa Michelle Slade,,0,459,86
Arapahoe,6273803180,"District Court, 18th Judicial District",,Darren L. Vahle,,0,438,102
Arapahoe,6273803180,"District Court, 18th Judicial District",,Elizabeth Beebe Volz,,0,438,104
Arapahoe,6273803180,"County Court, Arapahoe",,Chantel E. Contiguglia,,0,440,103
Arapahoe,6273803180,"County Court, Arapahoe",,Anne M. Ollada,,0,434,108
Arapahoe,6273803180,"County Court, Arapahoe",,Joshua Jay Williford,,0,452,92
Arapahoe,6273803180,Amendment B (CONSTITUTIONAL),,,,0,391,290
Arapahoe,6273803180,Amendment C (CONSTITUTIONAL),,,,0,310,362
Arapahoe,6273803180,Amendment 76 (CONSTITUTIONAL),,,,0,410,295
Arapahoe,6273803180,Amendment 77 (CONSTITUTIONAL),,,,0,347,340
Arapahoe,6273803180,Proposition EE (STATUTORY),,,,0,521,183
Arapahoe,6273803180,Proposition 113 (STATUTORY),,,,0,368,333
Arapahoe,6273803180,Proposition 114 (STATUTORY),,,,0,328,356
Arapahoe,6273803180,Proposition 115 (STATUTORY),,,,0,273,425
Arapahoe,6273803180,Proposition 116 (STATUTORY),,,,0,349,350
Arapahoe,6273803180,Proposition 117 (STATUTORY),,,,0,328,334
Arapahoe,6273803180,Proposition 118 (STATUTORY),,,,0,382,313
Arapahoe,6273803181,President,,Joseph R. Biden / Kamala D. Harris,Democratic Party,375,0,0
Arapahoe,6273803181,President,,Donald J. Trump / Michael R. Pence,Republican Party,277,0,0
Arapahoe,6273803181,President,,Don Blankenship / William Mohr,American Constitution Party,2,0,0
Arapahoe,6273803181,President,,Bill Hammons / Eric Bodenstab,Unity Party of Colorado,2,0,0
Arapahoe,6273803181,President,,Howie Hawkins / Angela Nicole Walker,Green Party,3,0,0
Arapahoe,6273803181,President,,Blake Huber / Frank Atwood,Approval Voting Party,0,0,0
Arapahoe,6273803181,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian Party,9,0,0
Arapahoe,6273803181,President,,Brian Carroll / Amar Patel,American Solidarity Party,2,0,0
Arapahoe,6273803181,President,,Mark Charles / Adrian Wallace,Unaffiliated,2,0,0
Arapahoe,6273803181,President,,Phil Collins / Billy Joe Parker,Prohibition Party,0,0,0
Arapahoe,6273803181,President,,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",Alliance Party,0,0,0
Arapahoe,6273803181,President,,Dario Hunter / Dawn Neptune Adams,Progressive Party,0,0,0
Arapahoe,6273803181,President,,Princess Khadijah Maryam Jacob-Fambro / Khadijah Maryam Jacob Sr.,Unaffiliated,0,0,0
Arapahoe,6273803181,President,,Alyson Kennedy / Malcolm Jarrett,Socialist Workers Party,0,0,0
Arapahoe,6273803181,President,,Joseph Kishore / Norissa Santa Cruz,Socialist Equality Party,0,0,0
Arapahoe,6273803181,President,,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,Independent American Party,0,0,0
Arapahoe,6273803181,President,,Gloria La Riva / Sunil Freeman,Socialism and Liberation,0,0,0
Arapahoe,6273803181,President,,Joe McHugh / Elizabeth Storm,Unaffiliated,0,0,0
Arapahoe,6273803181,President,,Brock Pierce / Karla Ballard,Unaffiliated,0,0,0
Arapahoe,6273803181,President,,"Jordan ""Cancer"" Scott / Jennifer Tepool",Unaffiliated,0,0,0
Arapahoe,6273803181,President,,Kanye West / Michelle Tidball,Unaffiliated,0,0,0
Arapahoe,6273803181,President,,Kasey Wells / Rachel Wells,No Party Affiliation,0,0,0
Arapahoe,6273803181,President,,Todd Cella / Timothy Bryan Cella,Independent,0,0,0
Arapahoe,6273803181,President,,Tom Hoefling / Andy Prior,Unaffiliated / No Party Affiliation,0,0,0
Arapahoe,6273803181,U.S. Senate,,John W. Hickenlooper,Democratic Party,349,0,0
Arapahoe,6273803181,U.S. Senate,,Cory Gardner,Republican Party,299,0,0
Arapahoe,6273803181,U.S. Senate,,Daniel Doyle,Approval Voting Party,2,0,0
Arapahoe,6273803181,U.S. Senate,,"Stephan ""Seku"" Evans",Unity Party of Colorado,3,0,0
Arapahoe,6273803181,U.S. Senate,,Raymon Anthony Doane,Libertarian Party,10,0,0
Arapahoe,6273803181,U.S. Senate,,Danny Skelly,Unaffiliated,0,0,0
Arapahoe,6273803181,U.S. Senate,,Bruce Lohmiller,Green Party,0,0,0
Arapahoe,6273803181,U.S. Senate,,Michael Sanchez,Unaffiliated,0,0,0
Arapahoe,6273803181,U.S. House,6,Steve House,Republican Party,287,0,0
Arapahoe,6273803181,U.S. House,6,Jason Crow,Democratic Party,354,0,0
Arapahoe,6273803181,U.S. House,6,Jaimie Lynn Kulikowski,Unity Party of Colorado,3,0,0
Arapahoe,6273803181,U.S. House,6,Norm Olsen,Libertarian Party,15,0,0
Arapahoe,6273803181,Regent Of The University Of Colorado - District 6,,Richard Murray,Republican Party,299,0,0
Arapahoe,6273803181,Regent Of The University Of Colorado - District 6,,Ilana Spiegel,Democratic Party,308,0,0
Arapahoe,6273803181,Regent Of The University Of Colorado - District 6,,Christopher E. Otwell,Unity Party of Colorado,15,0,0
Arapahoe,6273803181,State Senate,27,Chris Kolker,Democratic Party,345,0,0
Arapahoe,6273803181,State Senate,27,Suzanne Staiert,Republican Party,302,0,0
Arapahoe,6273803181,State House,38,David Ortiz,Democratic Party,361,0,0
Arapahoe,6273803181,State House,38,Richard Champion,Republican Party,289,0,0
Arapahoe,6273803181,District Attorney - District 18,,Amy L. Padden,Democratic Party,318,0,0
Arapahoe,6273803181,District Attorney - District 18,,John Kellner,Republican Party,315,0,0
Arapahoe,6273803181,District H Director Of Regional Transit District,,Doug Tisdale,,198,0,0
Arapahoe,6273803181,District H Director Of Regional Transit District,,Regan Byrd,,148,0,0
Arapahoe,6273803181,District H Director Of Regional Transit District,,Roger Edwards,,115,0,0
Arapahoe,6273803181,Supreme Court,,Melissa Hart,,0,403,150
Arapahoe,6273803181,Supreme Court,,Carlos A. Samour Jr.,,0,390,156
Arapahoe,6273803181,Court of Appeals,,Ted C. Tow III,,0,361,176
Arapahoe,6273803181,Court of Appeals,,Craig R. Welling,,0,376,159
Arapahoe,6273803181,"District Court, 18th Judicial District",,Michelle Ann Amico,,0,425,112
Arapahoe,6273803181,"District Court, 18th Judicial District",,Andrew Baum,,0,367,170
Arapahoe,6273803181,"District Court, 18th Judicial District",,Cynthia Dianne Mares,,0,368,168
Arapahoe,6273803181,"District Court, 18th Judicial District",,John E. Scipione,,0,381,138
Arapahoe,6273803181,"District Court, 18th Judicial District",,Theresa Michelle Slade,,0,417,105
Arapahoe,6273803181,"District Court, 18th Judicial District",,Darren L. Vahle,,0,401,117
Arapahoe,6273803181,"District Court, 18th Judicial District",,Elizabeth Beebe Volz,,0,402,118
Arapahoe,6273803181,"County Court, Arapahoe",,Chantel E. Contiguglia,,0,413,106
Arapahoe,6273803181,"County Court, Arapahoe",,Anne M. Ollada,,0,396,121
Arapahoe,6273803181,"County Court, Arapahoe",,Joshua Jay Williford,,0,402,110
Arapahoe,6273803181,Amendment B (CONSTITUTIONAL),,,,0,359,264
Arapahoe,6273803181,Amendment C (CONSTITUTIONAL),,,,0,301,319
Arapahoe,6273803181,Amendment 76 (CONSTITUTIONAL),,,,0,394,256
Arapahoe,6273803181,Amendment 77 (CONSTITUTIONAL),,,,0,368,261
Arapahoe,6273803181,Proposition EE (STATUTORY),,,,0,439,212
Arapahoe,6273803181,Proposition 113 (STATUTORY),,,,0,323,326
Arapahoe,6273803181,Proposition 114 (STATUTORY),,,,0,341,295
Arapahoe,6273803181,Proposition 115 (STATUTORY),,,,0,278,373
Arapahoe,6273803181,Proposition 116 (STATUTORY),,,,0,357,287
Arapahoe,6273803181,Proposition 117 (STATUTORY),,,,0,334,282
Arapahoe,6273803181,Proposition 118 (STATUTORY),,,,0,361,278
Arapahoe,6273803182,President,,Joseph R. Biden / Kamala D. Harris,Democratic Party,533,0,0
Arapahoe,6273803182,President,,Donald J. Trump / Michael R. Pence,Republican Party,340,0,0
Arapahoe,6273803182,President,,Don Blankenship / William Mohr,American Constitution Party,2,0,0
Arapahoe,6273803182,President,,Bill Hammons / Eric Bodenstab,Unity Party of Colorado,0,0,0
Arapahoe,6273803182,President,,Howie Hawkins / Angela Nicole Walker,Green Party,5,0,0
Arapahoe,6273803182,President,,Blake Huber / Frank Atwood,Approval Voting Party,0,0,0
Arapahoe,6273803182,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian Party,15,0,0
Arapahoe,6273803182,President,,Brian Carroll / Amar Patel,American Solidarity Party,1,0,0
Arapahoe,6273803182,President,,Mark Charles / Adrian Wallace,Unaffiliated,1,0,0
Arapahoe,6273803182,President,,Phil Collins / Billy Joe Parker,Prohibition Party,0,0,0
Arapahoe,6273803182,President,,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",Alliance Party,0,0,0
Arapahoe,6273803182,President,,Dario Hunter / Dawn Neptune Adams,Progressive Party,0,0,0
Arapahoe,6273803182,President,,Princess Khadijah Maryam Jacob-Fambro / Khadijah Maryam Jacob Sr.,Unaffiliated,0,0,0
Arapahoe,6273803182,President,,Alyson Kennedy / Malcolm Jarrett,Socialist Workers Party,0,0,0
Arapahoe,6273803182,President,,Joseph Kishore / Norissa Santa Cruz,Socialist Equality Party,0,0,0
Arapahoe,6273803182,President,,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,Independent American Party,0,0,0
Arapahoe,6273803182,President,,Gloria La Riva / Sunil Freeman,Socialism and Liberation,1,0,0
Arapahoe,6273803182,President,,Joe McHugh / Elizabeth Storm,Unaffiliated,0,0,0
Arapahoe,6273803182,President,,Brock Pierce / Karla Ballard,Unaffiliated,0,0,0
Arapahoe,6273803182,President,,"Jordan ""Cancer"" Scott / Jennifer Tepool",Unaffiliated,0,0,0
Arapahoe,6273803182,President,,Kanye West / Michelle Tidball,Unaffiliated,0,0,0
Arapahoe,6273803182,President,,Kasey Wells / Rachel Wells,No Party Affiliation,0,0,0
Arapahoe,6273803182,President,,Todd Cella / Timothy Bryan Cella,Independent,0,0,0
Arapahoe,6273803182,President,,Tom Hoefling / Andy Prior,Unaffiliated / No Party Affiliation,0,0,0
Arapahoe,6273803182,U.S. Senate,,John W. Hickenlooper,Democratic Party,510,0,0
Arapahoe,6273803182,U.S. Senate,,Cory Gardner,Republican Party,365,0,0
Arapahoe,6273803182,U.S. Senate,,Daniel Doyle,Approval Voting Party,1,0,0
Arapahoe,6273803182,U.S. Senate,,"Stephan ""Seku"" Evans",Unity Party of Colorado,5,0,0
Arapahoe,6273803182,U.S. Senate,,Raymon Anthony Doane,Libertarian Party,17,0,0
Arapahoe,6273803182,U.S. Senate,,Danny Skelly,Unaffiliated,0,0,0
Arapahoe,6273803182,U.S. Senate,,Bruce Lohmiller,Green Party,0,0,0
Arapahoe,6273803182,U.S. Senate,,Michael Sanchez,Unaffiliated,0,0,0
Arapahoe,6273803182,U.S. House,6,Steve House,Republican Party,349,0,0
Arapahoe,6273803182,U.S. House,6,Jason Crow,Democratic Party,503,0,0
Arapahoe,6273803182,U.S. House,6,Jaimie Lynn Kulikowski,Unity Party of Colorado,6,0,0
Arapahoe,6273803182,U.S. House,6,Norm Olsen,Libertarian Party,21,0,0
Arapahoe,6273803182,Regent Of The University Of Colorado - District 6,,Richard Murray,Republican Party,382,0,0
Arapahoe,6273803182,Regent Of The University Of Colorado - District 6,,Ilana Spiegel,Democratic Party,448,0,0
Arapahoe,6273803182,Regent Of The University Of Colorado - District 6,,Christopher E. Otwell,Unity Party of Colorado,22,0,0
Arapahoe,6273803182,State Senate,27,Chris Kolker,Democratic Party,497,0,0
Arapahoe,6273803182,State Senate,27,Suzanne Staiert,Republican Party,374,0,0
Arapahoe,6273803182,State House,38,David Ortiz,Democratic Party,517,0,0
Arapahoe,6273803182,State House,38,Richard Champion,Republican Party,352,0,0
Arapahoe,6273803182,District Attorney - District 18,,Amy L. Padden,Democratic Party,457,0,0
Arapahoe,6273803182,District Attorney - District 18,,John Kellner,Republican Party,401,0,0
Arapahoe,6273803182,District H Director Of Regional Transit District,,Doug Tisdale,,261,0,0
Arapahoe,6273803182,District H Director Of Regional Transit District,,Regan Byrd,,232,0,0
Arapahoe,6273803182,District H Director Of Regional Transit District,,Roger Edwards,,147,0,0
Arapahoe,6273803182,Supreme Court,,Melissa Hart,,0,570,191
Arapahoe,6273803182,Supreme Court,,Carlos A. Samour Jr.,,0,564,184
Arapahoe,6273803182,Court of Appeals,,Ted C. Tow III,,0,526,215
Arapahoe,6273803182,Court of Appeals,,Craig R. Welling,,0,523,221
Arapahoe,6273803182,"District Court, 18th Judicial District",,Michelle Ann Amico,,0,573,173
Arapahoe,6273803182,"District Court, 18th Judicial District",,Andrew Baum,,0,486,250
Arapahoe,6273803182,"District Court, 18th Judicial District",,Cynthia Dianne Mares,,0,509,227
Arapahoe,6273803182,"District Court, 18th Judicial District",,John E. Scipione,,0,553,175
Arapahoe,6273803182,"District Court, 18th Judicial District",,Theresa Michelle Slade,,0,584,146
Arapahoe,6273803182,"District Court, 18th Judicial District",,Darren L. Vahle,,0,554,173
Arapahoe,6273803182,"District Court, 18th Judicial District",,Elizabeth Beebe Volz,,0,568,152
Arapahoe,6273803182,"County Court, Arapahoe",,Chantel E. Contiguglia,,0,546,179
Arapahoe,6273803182,"County Court, Arapahoe",,Anne M. Ollada,,0,546,175
Arapahoe,6273803182,"County Court, Arapahoe",,Joshua Jay Williford,,0,573,150
Arapahoe,6273803182,Amendment B (CONSTITUTIONAL),,,,0,467,385
Arapahoe,6273803182,Amendment C (CONSTITUTIONAL),,,,0,397,439
Arapahoe,6273803182,Amendment 76 (CONSTITUTIONAL),,,,0,516,347
Arapahoe,6273803182,Amendment 77 (CONSTITUTIONAL),,,,0,445,402
Arapahoe,6273803182,Proposition EE (STATUTORY),,,,0,601,273
Arapahoe,6273803182,Proposition 113 (STATUTORY),,,,0,472,401
Arapahoe,6273803182,Proposition 114 (STATUTORY),,,,0,440,427
Arapahoe,6273803182,Proposition 115 (STATUTORY),,,,0,336,549
Arapahoe,6273803182,Proposition 116 (STATUTORY),,,,0,436,434
Arapahoe,6273803182,Proposition 117 (STATUTORY),,,,0,406,435
Arapahoe,6273803182,Proposition 118 (STATUTORY),,,,0,494,378
Arapahoe,6273803183,President,,Joseph R. Biden / Kamala D. Harris,Democratic Party,697,0,0
Arapahoe,6273803183,President,,Donald J. Trump / Michael R. Pence,Republican Party,530,0,0
Arapahoe,6273803183,President,,Don Blankenship / William Mohr,American Constitution Party,2,0,0
Arapahoe,6273803183,President,,Bill Hammons / Eric Bodenstab,Unity Party of Colorado,1,0,0
Arapahoe,6273803183,President,,Howie Hawkins / Angela Nicole Walker,Green Party,3,0,0
Arapahoe,6273803183,President,,Blake Huber / Frank Atwood,Approval Voting Party,0,0,0
Arapahoe,6273803183,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian Party,24,0,0
Arapahoe,6273803183,President,,Brian Carroll / Amar Patel,American Solidarity Party,6,0,0
Arapahoe,6273803183,President,,Mark Charles / Adrian Wallace,Unaffiliated,0,0,0
Arapahoe,6273803183,President,,Phil Collins / Billy Joe Parker,Prohibition Party,0,0,0
Arapahoe,6273803183,President,,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",Alliance Party,1,0,0
Arapahoe,6273803183,President,,Dario Hunter / Dawn Neptune Adams,Progressive Party,0,0,0
Arapahoe,6273803183,President,,Princess Khadijah Maryam Jacob-Fambro / Khadijah Maryam Jacob Sr.,Unaffiliated,0,0,0
Arapahoe,6273803183,President,,Alyson Kennedy / Malcolm Jarrett,Socialist Workers Party,0,0,0
Arapahoe,6273803183,President,,Joseph Kishore / Norissa Santa Cruz,Socialist Equality Party,0,0,0
Arapahoe,6273803183,President,,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,Independent American Party,1,0,0
Arapahoe,6273803183,President,,Gloria La Riva / Sunil Freeman,Socialism and Liberation,0,0,0
Arapahoe,6273803183,President,,Joe McHugh / Elizabeth Storm,Unaffiliated,0,0,0
Arapahoe,6273803183,President,,Brock Pierce / Karla Ballard,Unaffiliated,0,0,0
Arapahoe,6273803183,President,,"Jordan ""Cancer"" Scott / Jennifer Tepool",Unaffiliated,0,0,0
Arapahoe,6273803183,President,,Kanye West / Michelle Tidball,Unaffiliated,7,0,0
Arapahoe,6273803183,President,,Kasey Wells / Rachel Wells,No Party Affiliation,0,0,0
Arapahoe,6273803183,President,,Todd Cella / Timothy Bryan Cella,Independent,0,0,0
Arapahoe,6273803183,President,,Tom Hoefling / Andy Prior,Unaffiliated / No Party Affiliation,0,0,0
Arapahoe,6273803183,U.S. Senate,,John W. Hickenlooper,Democratic Party,661,0,0
Arapahoe,6273803183,U.S. Senate,,Cory Gardner,Republican Party,584,0,0
Arapahoe,6273803183,U.S. Senate,,Daniel Doyle,Approval Voting Party,2,0,0
Arapahoe,6273803183,U.S. Senate,,"Stephan ""Seku"" Evans",Unity Party of Colorado,1,0,0
Arapahoe,6273803183,U.S. Senate,,Raymon Anthony Doane,Libertarian Party,16,0,0
Arapahoe,6273803183,U.S. Senate,,Danny Skelly,Unaffiliated,0,0,0
Arapahoe,6273803183,U.S. Senate,,Bruce Lohmiller,Green Party,0,0,0
Arapahoe,6273803183,U.S. Senate,,Michael Sanchez,Unaffiliated,0,0,0
Arapahoe,6273803183,U.S. House,6,Steve House,Republican Party,545,0,0
Arapahoe,6273803183,U.S. House,6,Jason Crow,Democratic Party,674,0,0
Arapahoe,6273803183,U.S. House,6,Jaimie Lynn Kulikowski,Unity Party of Colorado,5,0,0
Arapahoe,6273803183,U.S. House,6,Norm Olsen,Libertarian Party,27,0,0
Arapahoe,6273803183,Regent Of The University Of Colorado - District 6,,Richard Murray,Republican Party,590,0,0
Arapahoe,6273803183,Regent Of The University Of Colorado - District 6,,Ilana Spiegel,Democratic Party,576,0,0
Arapahoe,6273803183,Regent Of The University Of Colorado - District 6,,Christopher E. Otwell,Unity Party of Colorado,24,0,0
Arapahoe,6273803183,State Senate,27,Chris Kolker,Democratic Party,656,0,0
Arapahoe,6273803183,State Senate,27,Suzanne Staiert,Republican Party,570,0,0
Arapahoe,6273803183,State House,38,David Ortiz,Democratic Party,676,0,0
Arapahoe,6273803183,State House,38,Richard Champion,Republican Party,552,0,0
Arapahoe,6273803183,District Attorney - District 18,,Amy L. Padden,Democratic Party,614,0,0
Arapahoe,6273803183,District Attorney - District 18,,John Kellner,Republican Party,596,0,0
Arapahoe,6273803183,District H Director Of Regional Transit District,,Doug Tisdale,,324,0,0
Arapahoe,6273803183,District H Director Of Regional Transit District,,Regan Byrd,,321,0,0
Arapahoe,6273803183,District H Director Of Regional Transit District,,Roger Edwards,,230,0,0
Arapahoe,6273803183,Supreme Court,,Melissa Hart,,0,784,270
Arapahoe,6273803183,Supreme Court,,Carlos A. Samour Jr.,,0,782,264
Arapahoe,6273803183,Court of Appeals,,Ted C. Tow III,,0,747,281
