county,office,district,party,candidate,votes
Quay,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,19
Rio Arriba,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,18
Roosevelt,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,25
San Juan,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,178
San Miguel,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,115
Sandoval,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,17
Santa Fe,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,187
Sierra,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,19
Socorro,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,41
Taos,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,34
Torrance,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,25
Union,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,3
Valencia,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,60
,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,2428
Bernalillo,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,180751
Catron,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,780
Chaves,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,8609
Cibola,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,6155
Colfax,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,4114
Curry,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,7120
De Baca,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,449
Dona Ana,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,42079
Eddy,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,8362
Grant,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,8723
Guadalupe,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,1596
Harding,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,337
Hidalgo,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,1085
Lea,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,4774
Lincoln,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,3825
Los Alamos,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,5475
Luna,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,4739
McKinley,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,18357
Mora,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,2167
Otero,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,9674
Quay,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,2214
Rio Arriba,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,12778
Roosevelt,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,3189
San Juan,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,35306
San Miguel,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,22238
Sandoval,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,10752
Santa Fe,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,56750
Sierra,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,2672
Socorro,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,4822
Taos,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,14160
Torrance,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,3545
Union,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,833
Valencia,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,16698
,UNITED STATES SENATOR,,DEMOCRATIC PARTY,TOM UDALL,505128
Bernalillo,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,102784
Catron,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,1316
Chaves,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,13398
Cibola,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,2904
Colfax,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,2240
Curry,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,7218
De Baca,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,593
Dona Ana,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,26433
Eddy,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,11585
Grant,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,4932
Guadalupe,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,596
Harding,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,287
Hidalgo,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,855
Lea,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,13744
Lincoln,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,5787
Los Alamos,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,5428
Luna,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,3492
McKinley,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,4742
Mora,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,581
Otero,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,11852
Quay,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,1761
Rio Arriba,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,4045
Roosevelt,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,3453
San Juan,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,22824
San Miguel,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,24021
Sandoval,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,2147
Santa Fe,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,14782
Sierra,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,2769
Socorro,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,3036
Taos,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,2591
Torrance,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,3387
Union,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,890
Valencia,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,12049
,UNITED STATES SENATOR,,REPUBLICAN PARTY,STEVE PEARCE,318522
Bernalillo,UNITED STATES REPRESENTATIVE,1,DEMOCRATIC PARTY,MARTIN T. HEINRICH,151547
San Juan,UNITED STATES REPRESENTATIVE,1,DEMOCRATIC PARTY,MARTIN T. HEINRICH,5986
Santa Fe,UNITED STATES REPRESENTATIVE,1,DEMOCRATIC PARTY,MARTIN T. HEINRICH,1034
Torrance,UNITED STATES REPRESENTATIVE,1,DEMOCRATIC PARTY,MARTIN T. HEINRICH,2922
Valencia,UNITED STATES REPRESENTATIVE,1,DEMOCRATIC PARTY,MARTIN T. HEINRICH,4782
,UNITED STATES REPRESENTATIVE,1,DEMOCRATIC PARTY,MARTIN T. HEINRICH,166271
Bernalillo,UNITED STATES REPRESENTATIVE,1,REPUBLICAN PARTY,DARREN WHITE,117653
San Juan,UNITED STATES REPRESENTATIVE,1,REPUBLICAN PARTY,DARREN WHITE,4733
Santa Fe,UNITED STATES REPRESENTATIVE,1,REPUBLICAN PARTY,DARREN WHITE,1868
Torrance,UNITED STATES REPRESENTATIVE,1,REPUBLICAN PARTY,DARREN WHITE,3924
Valencia,UNITED STATES REPRESENTATIVE,1,REPUBLICAN PARTY,DARREN WHITE,4307
,UNITED STATES REPRESENTATIVE,1,REPUBLICAN PARTY,DARREN WHITE,132485
Bernalillo,UNITED STATES REPRESENTATIVE,2,DEMOCRATIC PARTY,HARRY TEAGUE,914
Catron,UNITED STATES REPRESENTATIVE,2,DEMOCRATIC PARTY,HARRY TEAGUE,760
Chaves,UNITED STATES REPRESENTATIVE,2,DEMOCRATIC PARTY,HARRY TEAGUE,10201
Cibola,UNITED STATES REPRESENTATIVE,2,DEMOCRATIC PARTY,HARRY TEAGUE,6081
De Baca,UNITED STATES REPRESENTATIVE,2,DEMOCRATIC PARTY,HARRY TEAGUE,520
Dona Ana,UNITED STATES REPRESENTATIVE,2,DEMOCRATIC PARTY,HARRY TEAGUE,41518
Eddy,UNITED STATES REPRESENTATIVE,2,DEMOCRATIC PARTY,HARRY TEAGUE,9879
Grant,UNITED STATES REPRESENTATIVE,2,DEMOCRATIC PARTY,HARRY TEAGUE,8660
Guadalupe,UNITED STATES REPRESENTATIVE,2,DEMOCRATIC PARTY,HARRY TEAGUE,1625
Hidalgo,UNITED STATES REPRESENTATIVE,2,DEMOCRATIC PARTY,HARRY TEAGUE,1102
Lea,UNITED STATES REPRESENTATIVE,2,DEMOCRATIC PARTY,HARRY TEAGUE,9168
Lincoln,UNITED STATES REPRESENTATIVE,2,DEMOCRATIC PARTY,HARRY TEAGUE,4127
Luna,UNITED STATES REPRESENTATIVE,2,DEMOCRATIC PARTY,HARRY TEAGUE,4829
McKinley,UNITED STATES REPRESENTATIVE,2,DEMOCRATIC PARTY,HARRY TEAGUE,1490
Otero,UNITED STATES REPRESENTATIVE,2,DEMOCRATIC PARTY,HARRY TEAGUE,9934
Sierra,UNITED STATES REPRESENTATIVE,2,DEMOCRATIC PARTY,HARRY TEAGUE,2716
Socorro,UNITED STATES REPRESENTATIVE,2,DEMOCRATIC PARTY,HARRY TEAGUE,4855
Valencia,UNITED STATES REPRESENTATIVE,2,DEMOCRATIC PARTY,HARRY TEAGUE,11193
,UNITED STATES REPRESENTATIVE,2,DEMOCRATIC PARTY,HARRY TEAGUE,129572
Bernalillo,UNITED STATES REPRESENTATIVE,2,REPUBLICAN PARTY,EDWARD R. TINSLEY,191
Catron,UNITED STATES REPRESENTATIVE,2,REPUBLICAN PARTY,EDWARD R. TINSLEY,1271
Chaves,UNITED STATES REPRESENTATIVE,2,REPUBLICAN PARTY,EDWARD R. TINSLEY,11567
Cibola,UNITED STATES REPRESENTATIVE,2,REPUBLICAN PARTY,EDWARD R. TINSLEY,2826
De Baca,UNITED STATES REPRESENTATIVE,2,REPUBLICAN PARTY,EDWARD R. TINSLEY,487
Dona Ana,UNITED STATES REPRESENTATIVE,2,REPUBLICAN PARTY,EDWARD R. TINSLEY,26374
Eddy,UNITED STATES REPRESENTATIVE,2,REPUBLICAN PARTY,EDWARD R. TINSLEY,9815
Grant,UNITED STATES REPRESENTATIVE,2,REPUBLICAN PARTY,EDWARD R. TINSLEY,4810
Guadalupe,UNITED STATES REPRESENTATIVE,2,REPUBLICAN PARTY,EDWARD R. TINSLEY,517
Hidalgo,UNITED STATES REPRESENTATIVE,2,REPUBLICAN PARTY,EDWARD R. TINSLEY,810
Lea,UNITED STATES REPRESENTATIVE,2,REPUBLICAN PARTY,EDWARD R. TINSLEY,9260
Lincoln,UNITED STATES REPRESENTATIVE,2,REPUBLICAN PARTY,EDWARD R. TINSLEY,5354
Luna,UNITED STATES REPRESENTATIVE,2,REPUBLICAN PARTY,EDWARD R. TINSLEY,3317
McKinley,UNITED STATES REPRESENTATIVE,2,REPUBLICAN PARTY,EDWARD R. TINSLEY,461
Otero,UNITED STATES REPRESENTATIVE,2,REPUBLICAN PARTY,EDWARD R. TINSLEY,11339
Sierra,UNITED STATES REPRESENTATIVE,2,REPUBLICAN PARTY,EDWARD R. TINSLEY,2653
Socorro,UNITED STATES REPRESENTATIVE,2,REPUBLICAN PARTY,EDWARD R. TINSLEY,2858
Valencia,UNITED STATES REPRESENTATIVE,2,REPUBLICAN PARTY,EDWARD R. TINSLEY,8070
,UNITED STATES REPRESENTATIVE,2,REPUBLICAN PARTY,EDWARD R. TINSLEY,101980
Bernalillo,UNITED STATES REPRESENTATIVE,3,DEMOCRATIC PARTY,BEN R. LUJAN,4901
Colfax,UNITED STATES REPRESENTATIVE,3,DEMOCRATIC PARTY,BEN R. LUJAN,3562
Curry,UNITED STATES REPRESENTATIVE,3,DEMOCRATIC PARTY,BEN R. LUJAN,5302
Harding,UNITED STATES REPRESENTATIVE,3,DEMOCRATIC PARTY,BEN R. LUJAN,289
Los Alamos,UNITED STATES REPRESENTATIVE,3,DEMOCRATIC PARTY,BEN R. LUJAN,4290
McKinley,UNITED STATES REPRESENTATIVE,3,DEMOCRATIC PARTY,BEN R. LUJAN,15005
Mora,UNITED STATES REPRESENTATIVE,3,DEMOCRATIC PARTY,BEN R. LUJAN,2134
Quay,UNITED STATES REPRESENTATIVE,3,DEMOCRATIC PARTY,BEN R. LUJAN,1844
Rio Arriba,UNITED STATES REPRESENTATIVE,3,DEMOCRATIC PARTY,BEN R. LUJAN,12241
Roosevelt,UNITED STATES REPRESENTATIVE,3,DEMOCRATIC PARTY,BEN R. LUJAN,2424
San Juan,UNITED STATES REPRESENTATIVE,3,DEMOCRATIC PARTY,BEN R. LUJAN,23809
San Miguel,UNITED STATES REPRESENTATIVE,3,DEMOCRATIC PARTY,BEN R. LUJAN,18677
Sandoval,UNITED STATES REPRESENTATIVE,3,DEMOCRATIC PARTY,BEN R. LUJAN,9430
Santa Fe,UNITED STATES REPRESENTATIVE,3,DEMOCRATIC PARTY,BEN R. LUJAN,44592
Taos,UNITED STATES REPRESENTATIVE,3,DEMOCRATIC PARTY,BEN R. LUJAN,12144
Union,UNITED STATES REPRESENTATIVE,3,DEMOCRATIC PARTY,BEN R. LUJAN,648
,UNITED STATES REPRESENTATIVE,3,DEMOCRATIC PARTY,BEN R. LUJAN,161292
Bernalillo,UNITED STATES REPRESENTATIVE,3,REPUBLICAN PARTY,DANIEL K. EAST,4676
Colfax,UNITED STATES REPRESENTATIVE,3,REPUBLICAN PARTY,DANIEL K. EAST,2063
Curry,UNITED STATES REPRESENTATIVE,3,REPUBLICAN PARTY,DANIEL K. EAST,7498
Harding,UNITED STATES REPRESENTATIVE,3,REPUBLICAN PARTY,DANIEL K. EAST,278
Los Alamos,UNITED STATES REPRESENTATIVE,3,REPUBLICAN PARTY,DANIEL K. EAST,4445
McKinley,UNITED STATES REPRESENTATIVE,3,REPUBLICAN PARTY,DANIEL K. EAST,3677
Mora,UNITED STATES REPRESENTATIVE,3,REPUBLICAN PARTY,DANIEL K. EAST,376
Quay,UNITED STATES REPRESENTATIVE,3,REPUBLICAN PARTY,DANIEL K. EAST,1691
Rio Arriba,UNITED STATES REPRESENTATIVE,3,REPUBLICAN PARTY,DANIEL K. EAST,2639
Roosevelt,UNITED STATES REPRESENTATIVE,3,REPUBLICAN PARTY,DANIEL K. EAST,3337
San Juan,UNITED STATES REPRESENTATIVE,3,REPUBLICAN PARTY,DANIEL K. EAST,17790
San Miguel,UNITED STATES REPRESENTATIVE,3,REPUBLICAN PARTY,DANIEL K. EAST,22163
Sandoval,UNITED STATES REPRESENTATIVE,3,REPUBLICAN PARTY,DANIEL K. EAST,1718
Santa Fe,UNITED STATES REPRESENTATIVE,3,REPUBLICAN PARTY,DANIEL K. EAST,11455
Taos,UNITED STATES REPRESENTATIVE,3,REPUBLICAN PARTY,DANIEL K. EAST,1898
Union,UNITED STATES REPRESENTATIVE,3,REPUBLICAN PARTY,DANIEL K. EAST,914
,UNITED STATES REPRESENTATIVE,3,REPUBLICAN PARTY,DANIEL K. EAST,86618
Bernalillo,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,194858
Catron,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,1029
Chaves,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,13132
Cibola,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,6725
Colfax,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,4463
Curry,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,8607
De Baca,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,629
Dona Ana,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,48820
Eddy,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,11922
Grant,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,9805
Guadalupe,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,1606
Harding,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,384
Hidalgo,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,1299
Lea,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,10835
Lincoln,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,5291
Los Alamos,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,6449
Luna,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,5715
McKinley,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,17904
Mora,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,2041
Otero,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,12162
Quay,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,2507
Rio Arriba,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,12308
Roosevelt,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,4068
San Juan,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,39425
San Miguel,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,27222
Sandoval,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,10267
Santa Fe,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,53571
Sierra,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,3410
Socorro,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,5485
Taos,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,13092
Torrance,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,4351
Union,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,1028
Valencia,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,19869
,JUSTICE OF THE SUPREME COURT,,DEMOCRATIC PARTY,CHARLES W. DANIELS,560279
San Miguel,STATE SENATOR,1,REPUBLICAN PARTY,WILLIAM E. SHARER,14032
,STATE SENATOR,1,REPUBLICAN PARTY,WILLIAM E. SHARER,14032
San Miguel,STATE SENATOR,2,REPUBLICAN PARTY,STEVEN P. NEVILLE,14223
,STATE SENATOR,2,REPUBLICAN PARTY,STEVEN P. NEVILLE,14223
McKinley,STATE SENATOR,3,DEMOCRATIC PARTY,JOHN PINTO,4232
San Miguel,STATE SENATOR,3,DEMOCRATIC PARTY,JOHN PINTO,7889
,STATE SENATOR,3,DEMOCRATIC PARTY,JOHN PINTO,12121
Cibola,STATE SENATOR,4,DEMOCRATIC PARTY,GEORGE K. MUNOZ,858
McKinley,STATE SENATOR,4,DEMOCRATIC PARTY,GEORGE K. MUNOZ,10039
,STATE SENATOR,4,DEMOCRATIC PARTY,GEORGE K. MUNOZ,10897
Cibola,STATE SENATOR,4,REPUBLICAN PARTY,BEATRICE L. WOODWARD,334
McKinley,STATE SENATOR,4,REPUBLICAN PARTY,BEATRICE L. WOODWARD,3181
,STATE SENATOR,4,REPUBLICAN PARTY,BEATRICE L. WOODWARD,3515
Los Alamos,STATE SENATOR,5,DEMOCRATIC PARTY,RICHARD C. MARTINEZ,2622
Rio Arriba,STATE SENATOR,5,DEMOCRATIC PARTY,RICHARD C. MARTINEZ,11834
Santa Fe,STATE SENATOR,5,DEMOCRATIC PARTY,RICHARD C. MARTINEZ,519
,STATE SENATOR,5,DEMOCRATIC PARTY,RICHARD C. MARTINEZ,14975
Los Alamos,STATE SENATOR,6,DEMOCRATIC PARTY,CARLOS R. CISNEROS,1729
Rio Arriba,STATE SENATOR,6,DEMOCRATIC PARTY,CARLOS R. CISNEROS,359
Santa Fe,STATE SENATOR,6,DEMOCRATIC PARTY,CARLOS R. CISNEROS,4587
Taos,STATE SENATOR,6,DEMOCRATIC PARTY,CARLOS R. CISNEROS,11362
,STATE SENATOR,6,DEMOCRATIC PARTY,CARLOS R. CISNEROS,18037
Colfax,STATE SENATOR,7,DEMOCRATIC PARTY,THOMAS JEFFREY CARR,3403
Curry,STATE SENATOR,7,DEMOCRATIC PARTY,THOMAS JEFFREY CARR,1228
Harding,STATE SENATOR,7,DEMOCRATIC PARTY,THOMAS JEFFREY CARR,239
Quay,STATE SENATOR,7,DEMOCRATIC PARTY,THOMAS JEFFREY CARR,1652
Sandoval,STATE SENATOR,7,DEMOCRATIC PARTY,THOMAS JEFFREY CARR,36
Taos,STATE SENATOR,7,DEMOCRATIC PARTY,THOMAS JEFFREY CARR,491
Union,STATE SENATOR,7,DEMOCRATIC PARTY,THOMAS JEFFREY CARR,498
,STATE SENATOR,7,DEMOCRATIC PARTY,THOMAS JEFFREY CARR,7547
Colfax,STATE SENATOR,7,REPUBLICAN PARTY,"CLINTON D. HARDEN, JR.",2805
Curry,STATE SENATOR,7,REPUBLICAN PARTY,"CLINTON D. HARDEN, JR.",4151
Harding,STATE SENATOR,7,REPUBLICAN PARTY,"CLINTON D. HARDEN, JR.",353
Quay,STATE SENATOR,7,REPUBLICAN PARTY,"CLINTON D. HARDEN, JR.",2185
Sandoval,STATE SENATOR,7,REPUBLICAN PARTY,"CLINTON D. HARDEN, JR.",91
Taos,STATE SENATOR,7,REPUBLICAN PARTY,"CLINTON D. HARDEN, JR.",115
Union,STATE SENATOR,7,REPUBLICAN PARTY,"CLINTON D. HARDEN, JR.",1191
,STATE SENATOR,7,REPUBLICAN PARTY,"CLINTON D. HARDEN, JR.",10891
Guadalupe,STATE SENATOR,8,DEMOCRATIC PARTY,PETE CAMPOS,1846
Mora,STATE SENATOR,8,DEMOCRATIC PARTY,PETE CAMPOS,253
Sandoval,STATE SENATOR,8,DEMOCRATIC PARTY,PETE CAMPOS,6337
Santa Fe,STATE SENATOR,8,DEMOCRATIC PARTY,PETE CAMPOS,1184
Torrance,STATE SENATOR,8,DEMOCRATIC PARTY,PETE CAMPOS,3634
,STATE SENATOR,8,DEMOCRATIC PARTY,PETE CAMPOS,13254
San Juan,STATE SENATOR,9,DEMOCRATIC PARTY,JOHN M. SAPIEN,11981
,STATE SENATOR,9,DEMOCRATIC PARTY,JOHN M. SAPIEN,11981
San Juan,STATE SENATOR,9,REPUBLICAN PARTY,STEVE KOMADINA,11860
,STATE SENATOR,9,REPUBLICAN PARTY,STEVE KOMADINA,11860
Bernalillo,STATE SENATOR,10,DEMOCRATIC PARTY,VICTOR PAUL RAIGOZA,9701
San Juan,STATE SENATOR,10,DEMOCRATIC PARTY,VICTOR PAUL RAIGOZA,3419
,STATE SENATOR,10,DEMOCRATIC PARTY,VICTOR PAUL RAIGOZA,13120
Bernalillo,STATE SENATOR,10,REPUBLICAN PARTY,JOHN CHRISTOPHER RYAN,9468
San Juan,STATE SENATOR,10,REPUBLICAN PARTY,JOHN CHRISTOPHER RYAN,4308
,STATE SENATOR,10,REPUBLICAN PARTY,JOHN CHRISTOPHER RYAN,13776
Bernalillo,STATE SENATOR,11,DEMOCRATIC PARTY,LINDA M. LOPEZ,14253
,STATE SENATOR,11,DEMOCRATIC PARTY,LINDA M. LOPEZ,14253
Bernalillo,STATE SENATOR,12,DEMOCRATIC PARTY,GERALD P. ORTIZ Y PINO,12828
,STATE SENATOR,12,DEMOCRATIC PARTY,GERALD P. ORTIZ Y PINO,12828
Bernalillo,STATE SENATOR,13,DEMOCRATIC PARTY,DEDE FELDMAN,17412
,STATE SENATOR,13,DEMOCRATIC PARTY,DEDE FELDMAN,17412
Bernalillo,STATE SENATOR,14,DEMOCRATIC PARTY,ERIC G. GRIEGO,8436
Valencia,STATE SENATOR,14,DEMOCRATIC PARTY,ERIC G. GRIEGO,2371
,STATE SENATOR,14,DEMOCRATIC PARTY,ERIC G. GRIEGO,10807
Bernalillo,STATE SENATOR,15,DEMOCRATIC PARTY,TIM EICHENBERG,12643
,STATE SENATOR,15,DEMOCRATIC PARTY,TIM EICHENBERG,12643
Bernalillo,STATE SENATOR,15,REPUBLICAN PARTY,H. DIANE SNYDER,9728
,STATE SENATOR,15,REPUBLICAN PARTY,H. DIANE SNYDER,9728
Bernalillo,STATE SENATOR,16,DEMOCRATIC PARTY,CISCO MCSORLEY,16369
,STATE SENATOR,16,DEMOCRATIC PARTY,CISCO MCSORLEY,16369
Bernalillo,STATE SENATOR,17,DEMOCRATIC PARTY,TIMOTHY M. KELLER,9275
,STATE SENATOR,17,DEMOCRATIC PARTY,TIMOTHY M. KELLER,9275
Bernalillo,STATE SENATOR,18,REPUBLICAN PARTY,MARK L. BOITANO,13980
,STATE SENATOR,18,REPUBLICAN PARTY,MARK L. BOITANO,13980
Bernalillo,STATE SENATOR,19,DEMOCRATIC PARTY,JASON MICHAEL BURNETTE,7251
San Juan,STATE SENATOR,19,DEMOCRATIC PARTY,JASON MICHAEL BURNETTE,678
Santa Fe,STATE SENATOR,19,DEMOCRATIC PARTY,JASON MICHAEL BURNETTE,932
Torrance,STATE SENATOR,19,DEMOCRATIC PARTY,JASON MICHAEL BURNETTE,496
,STATE SENATOR,19,DEMOCRATIC PARTY,JASON MICHAEL BURNETTE,9357
