county,precinct,office,district,party,candidate,absentee,early_votes,election_day,votes
County of Hawaii,02-03,President,,,Total Blank Votes,,,,2
County of Hawaii,02-03,President,,,Total Over Votes,,,,1
County of Hawaii,02-03,President,,,Total Ballots,,,,863
County of Hawaii,02-03,President,,REP,"McCAIN, John / PALIN, Sarah",,,,191
County of Hawaii,02-03,President,,,Total Blank Votes,,,,2
County of Hawaii,02-03,President,,,Total Over Votes,,,,1
County of Hawaii,02-03,President,,,Total Ballots,,,,863
County of Hawaii,02-03,President,,GRE,"McKINNEY, Cynthia / CLEMENTE, Rosa",,,,3
County of Hawaii,02-03,President,,,Total Blank Votes,,,,2
County of Hawaii,02-03,President,,,Total Over Votes,,,,1
County of Hawaii,02-03,President,,,Total Ballots,,,,863
County of Hawaii,02-03,President,,IND,"NADER, Ralph / GONZALEZ, Matt",,,,5
County of Hawaii,02-03,President,,,Total Blank Votes,,,,2
County of Hawaii,02-03,President,,,Total Over Votes,,,,1
County of Hawaii,02-03,President,,,Total Ballots,,,,863
County of Hawaii,02-03,President,,DEM,"OBAMA, Barack / BIDEN, Joe",,,,654
County of Hawaii,02-03,President,,,Total Blank Votes,,,,2
County of Hawaii,02-03,President,,,Total Over Votes,,,,1
County of Hawaii,02-03,President,,,Total Ballots,,,,863
County of Hawaii,02-03,US Representative,2,REP,"EVANS, Roger B.",,,,136
County of Hawaii,02-03,US Representative,2,,Total Blank Votes,,,,86
County of Hawaii,02-03,US Representative,2,,Total Over Votes,,,,1
County of Hawaii,02-03,US Representative,2,,Total Ballots,,,,863
County of Hawaii,02-03,US Representative,2,DEM,"HIRONO, Mazie",,,,615
County of Hawaii,02-03,US Representative,2,,Total Blank Votes,,,,86
County of Hawaii,02-03,US Representative,2,,Total Over Votes,,,,1
County of Hawaii,02-03,US Representative,2,,Total Ballots,,,,863
County of Hawaii,02-03,US Representative,2,LIB,"MALLAN, Lloyd J. (Jeff)",,,,9
County of Hawaii,02-03,US Representative,2,,Total Blank Votes,,,,86
County of Hawaii,02-03,US Representative,2,,Total Over Votes,,,,1
County of Hawaii,02-03,US Representative,2,,Total Ballots,,,,863
County of Hawaii,02-03,US Representative,2,,"STENSHOL, Shaun",,,,16
County of Hawaii,02-03,US Representative,2,,Total Blank Votes,,,,86
County of Hawaii,02-03,US Representative,2,,Total Over Votes,,,,1
County of Hawaii,02-03,US Representative,2,,Total Ballots,,,,863
County of Hawaii,02-03,State Senate,1,REP,"HONG, Ted H.S.",,,,367
County of Hawaii,02-03,State Senate,1,,Total Blank Votes,,,,42
County of Hawaii,02-03,State Senate,1,,Total Over Votes,,,,1
County of Hawaii,02-03,State Senate,1,,Total Ballots,,,,863
County of Hawaii,02-03,State Senate,1,DEM,"TAKAMINE, Dwight Y.",,,,453
County of Hawaii,02-03,State Senate,1,,Total Blank Votes,,,,42
County of Hawaii,02-03,State Senate,1,,Total Over Votes,,,,1
County of Hawaii,02-03,State Senate,1,,Total Ballots,,,,863
County of Hawaii,02-04,President,,CON,"BALDWIN, Chuck / CASTLE, Darrell L.",,,,0
County of Hawaii,02-04,President,,,Total Blank Votes,,,,4
County of Hawaii,02-04,President,,,Total Over Votes,,,,0
County of Hawaii,02-04,President,,,Total Ballots,,,,313
County of Hawaii,02-04,President,,LIB,"BARR, Bob / ROOT, Wayne A.",,,,2
County of Hawaii,02-04,President,,,Total Blank Votes,,,,4
County of Hawaii,02-04,President,,,Total Over Votes,,,,0
County of Hawaii,02-04,President,,,Total Ballots,,,,313
County of Hawaii,02-04,President,,REP,"McCAIN, John / PALIN, Sarah",,,,59
County of Hawaii,02-04,President,,,Total Blank Votes,,,,4
County of Hawaii,02-04,President,,,Total Over Votes,,,,0
County of Hawaii,02-04,President,,,Total Ballots,,,,313
County of Hawaii,02-04,President,,GRE,"McKINNEY, Cynthia / CLEMENTE, Rosa",,,,0
County of Hawaii,02-04,President,,,Total Blank Votes,,,,4
County of Hawaii,02-04,President,,,Total Over Votes,,,,0
County of Hawaii,02-04,President,,,Total Ballots,,,,313
County of Hawaii,02-04,President,,IND,"NADER, Ralph / GONZALEZ, Matt",,,,5
County of Hawaii,02-04,President,,,Total Blank Votes,,,,4
County of Hawaii,02-04,President,,,Total Over Votes,,,,0
County of Hawaii,02-04,President,,,Total Ballots,,,,313
County of Hawaii,02-04,President,,DEM,"OBAMA, Barack / BIDEN, Joe",,,,243
County of Hawaii,02-04,President,,,Total Blank Votes,,,,4
County of Hawaii,02-04,President,,,Total Over Votes,,,,0
County of Hawaii,02-04,President,,,Total Ballots,,,,313
County of Hawaii,02-04,US Representative,2,REP,"EVANS, Roger B.",,,,50
County of Hawaii,02-04,US Representative,2,,Total Blank Votes,,,,25
County of Hawaii,02-04,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,02-04,US Representative,2,,Total Ballots,,,,313
County of Hawaii,02-04,US Representative,2,DEM,"HIRONO, Mazie",,,,223
County of Hawaii,02-04,US Representative,2,,Total Blank Votes,,,,25
County of Hawaii,02-04,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,02-04,US Representative,2,,Total Ballots,,,,313
County of Hawaii,02-04,US Representative,2,LIB,"MALLAN, Lloyd J. (Jeff)",,,,6
County of Hawaii,02-04,US Representative,2,,Total Blank Votes,,,,25
County of Hawaii,02-04,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,02-04,US Representative,2,,Total Ballots,,,,313
County of Hawaii,02-04,US Representative,2,,"STENSHOL, Shaun",,,,9
County of Hawaii,02-04,US Representative,2,,Total Blank Votes,,,,25
County of Hawaii,02-04,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,02-04,US Representative,2,,Total Ballots,,,,313
County of Hawaii,02-04,State Senate,1,REP,"HONG, Ted H.S.",,,,111
County of Hawaii,02-04,State Senate,1,,Total Blank Votes,,,,24
County of Hawaii,02-04,State Senate,1,,Total Over Votes,,,,0
County of Hawaii,02-04,State Senate,1,,Total Ballots,,,,313
County of Hawaii,02-04,State Senate,1,DEM,"TAKAMINE, Dwight Y.",,,,178
County of Hawaii,02-04,State Senate,1,,Total Blank Votes,,,,24
County of Hawaii,02-04,State Senate,1,,Total Over Votes,,,,0
County of Hawaii,02-04,State Senate,1,,Total Ballots,,,,313
County of Hawaii,02-05,President,,CON,"BALDWIN, Chuck / CASTLE, Darrell L.",,,,0
County of Hawaii,02-05,President,,,Total Blank Votes,,,,3
County of Hawaii,02-05,President,,,Total Over Votes,,,,0
County of Hawaii,02-05,President,,,Total Ballots,,,,433
County of Hawaii,02-05,President,,LIB,"BARR, Bob / ROOT, Wayne A.",,,,0
County of Hawaii,02-05,President,,,Total Blank Votes,,,,3
County of Hawaii,02-05,President,,,Total Over Votes,,,,0
County of Hawaii,02-05,President,,,Total Ballots,,,,433
County of Hawaii,02-05,President,,REP,"McCAIN, John / PALIN, Sarah",,,,93
County of Hawaii,02-05,President,,,Total Blank Votes,,,,3
County of Hawaii,02-05,President,,,Total Over Votes,,,,0
County of Hawaii,02-05,President,,,Total Ballots,,,,433
County of Hawaii,02-05,President,,GRE,"McKINNEY, Cynthia / CLEMENTE, Rosa",,,,4
County of Hawaii,02-05,President,,,Total Blank Votes,,,,3
County of Hawaii,02-05,President,,,Total Over Votes,,,,0
County of Hawaii,02-05,President,,,Total Ballots,,,,433
County of Hawaii,02-05,President,,IND,"NADER, Ralph / GONZALEZ, Matt",,,,3
County of Hawaii,02-05,President,,,Total Blank Votes,,,,3
County of Hawaii,02-05,President,,,Total Over Votes,,,,0
County of Hawaii,02-05,President,,,Total Ballots,,,,433
County of Hawaii,02-05,President,,DEM,"OBAMA, Barack / BIDEN, Joe",,,,330
County of Hawaii,02-05,President,,,Total Blank Votes,,,,3
County of Hawaii,02-05,President,,,Total Over Votes,,,,0
County of Hawaii,02-05,President,,,Total Ballots,,,,433
County of Hawaii,02-05,US Representative,2,REP,"EVANS, Roger B.",,,,62
County of Hawaii,02-05,US Representative,2,,Total Blank Votes,,,,46
County of Hawaii,02-05,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,02-05,US Representative,2,,Total Ballots,,,,433
County of Hawaii,02-05,US Representative,2,DEM,"HIRONO, Mazie",,,,313
County of Hawaii,02-05,US Representative,2,,Total Blank Votes,,,,46
County of Hawaii,02-05,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,02-05,US Representative,2,,Total Ballots,,,,433
County of Hawaii,02-05,US Representative,2,LIB,"MALLAN, Lloyd J. (Jeff)",,,,7
County of Hawaii,02-05,US Representative,2,,Total Blank Votes,,,,46
County of Hawaii,02-05,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,02-05,US Representative,2,,Total Ballots,,,,433
County of Hawaii,02-05,US Representative,2,,"STENSHOL, Shaun",,,,5
County of Hawaii,02-05,US Representative,2,,Total Blank Votes,,,,46
County of Hawaii,02-05,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,02-05,US Representative,2,,Total Ballots,,,,433
County of Hawaii,02-05,State Senate,1,REP,"HONG, Ted H.S.",,,,155
County of Hawaii,02-05,State Senate,1,,Total Blank Votes,,,,34
County of Hawaii,02-05,State Senate,1,,Total Over Votes,,,,0
County of Hawaii,02-05,State Senate,1,,Total Ballots,,,,433
County of Hawaii,02-05,State Senate,1,DEM,"TAKAMINE, Dwight Y.",,,,244
County of Hawaii,02-05,State Senate,1,,Total Blank Votes,,,,34
County of Hawaii,02-05,State Senate,1,,Total Over Votes,,,,0
County of Hawaii,02-05,State Senate,1,,Total Ballots,,,,433
County of Hawaii,02-06,President,,CON,"BALDWIN, Chuck / CASTLE, Darrell L.",,,,1
County of Hawaii,02-06,President,,,Total Blank Votes,,,,3
County of Hawaii,02-06,President,,,Total Over Votes,,,,0
County of Hawaii,02-06,President,,,Total Ballots,,,,545
County of Hawaii,02-06,President,,LIB,"BARR, Bob / ROOT, Wayne A.",,,,3
County of Hawaii,02-06,President,,,Total Blank Votes,,,,3
County of Hawaii,02-06,President,,,Total Over Votes,,,,0
County of Hawaii,02-06,President,,,Total Ballots,,,,545
County of Hawaii,02-06,President,,REP,"McCAIN, John / PALIN, Sarah",,,,73
County of Hawaii,02-06,President,,,Total Blank Votes,,,,3
County of Hawaii,02-06,President,,,Total Over Votes,,,,0
County of Hawaii,02-06,President,,,Total Ballots,,,,545
County of Hawaii,02-06,President,,GRE,"McKINNEY, Cynthia / CLEMENTE, Rosa",,,,0
County of Hawaii,02-06,President,,,Total Blank Votes,,,,3
County of Hawaii,02-06,President,,,Total Over Votes,,,,0
County of Hawaii,02-06,President,,,Total Ballots,,,,545
County of Hawaii,02-06,President,,IND,"NADER, Ralph / GONZALEZ, Matt",,,,7
County of Hawaii,02-06,President,,,Total Blank Votes,,,,3
County of Hawaii,02-06,President,,,Total Over Votes,,,,0
County of Hawaii,02-06,President,,,Total Ballots,,,,545
County of Hawaii,02-06,President,,DEM,"OBAMA, Barack / BIDEN, Joe",,,,458
County of Hawaii,02-06,President,,,Total Blank Votes,,,,3
County of Hawaii,02-06,President,,,Total Over Votes,,,,0
County of Hawaii,02-06,President,,,Total Ballots,,,,545
County of Hawaii,02-06,US Representative,2,REP,"EVANS, Roger B.",,,,78
County of Hawaii,02-06,US Representative,2,,Total Blank Votes,,,,29
County of Hawaii,02-06,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,02-06,US Representative,2,,Total Ballots,,,,545
County of Hawaii,02-06,US Representative,2,DEM,"HIRONO, Mazie",,,,415
County of Hawaii,02-06,US Representative,2,,Total Blank Votes,,,,29
County of Hawaii,02-06,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,02-06,US Representative,2,,Total Ballots,,,,545
County of Hawaii,02-06,US Representative,2,LIB,"MALLAN, Lloyd J. (Jeff)",,,,15
County of Hawaii,02-06,US Representative,2,,Total Blank Votes,,,,29
County of Hawaii,02-06,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,02-06,US Representative,2,,Total Ballots,,,,545
County of Hawaii,02-06,US Representative,2,,"STENSHOL, Shaun",,,,8
County of Hawaii,02-06,US Representative,2,,Total Blank Votes,,,,29
County of Hawaii,02-06,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,02-06,US Representative,2,,Total Ballots,,,,545
County of Hawaii,02-06,State Senate,1,REP,"HONG, Ted H.S.",,,,217
County of Hawaii,02-06,State Senate,1,,Total Blank Votes,,,,24
County of Hawaii,02-06,State Senate,1,,Total Over Votes,,,,0
County of Hawaii,02-06,State Senate,1,,Total Ballots,,,,545
County of Hawaii,02-06,State Senate,1,DEM,"TAKAMINE, Dwight Y.",,,,304
County of Hawaii,02-06,State Senate,1,,Total Blank Votes,,,,24
County of Hawaii,02-06,State Senate,1,,Total Over Votes,,,,0
County of Hawaii,02-06,State Senate,1,,Total Ballots,,,,545
County of Hawaii,02-07,President,,CON,"BALDWIN, Chuck / CASTLE, Darrell L.",,,,1
County of Hawaii,02-07,President,,,Total Blank Votes,,,,1
County of Hawaii,02-07,President,,,Total Over Votes,,,,0
County of Hawaii,02-07,President,,,Total Ballots,,,,307
County of Hawaii,02-07,President,,LIB,"BARR, Bob / ROOT, Wayne A.",,,,1
County of Hawaii,02-07,President,,,Total Blank Votes,,,,1
County of Hawaii,02-07,President,,,Total Over Votes,,,,0
County of Hawaii,02-07,President,,,Total Ballots,,,,307
County of Hawaii,02-07,President,,REP,"McCAIN, John / PALIN, Sarah",,,,57
County of Hawaii,02-07,President,,,Total Blank Votes,,,,1
County of Hawaii,02-07,President,,,Total Over Votes,,,,0
County of Hawaii,02-07,President,,,Total Ballots,,,,307
County of Hawaii,02-07,President,,GRE,"McKINNEY, Cynthia / CLEMENTE, Rosa",,,,0
County of Hawaii,02-07,President,,,Total Blank Votes,,,,1
County of Hawaii,02-07,President,,,Total Over Votes,,,,0
County of Hawaii,02-07,President,,,Total Ballots,,,,307
County of Hawaii,02-07,President,,IND,"NADER, Ralph / GONZALEZ, Matt",,,,0
County of Hawaii,02-07,President,,,Total Blank Votes,,,,1
County of Hawaii,02-07,President,,,Total Over Votes,,,,0
County of Hawaii,02-07,President,,,Total Ballots,,,,307
County of Hawaii,02-07,President,,DEM,"OBAMA, Barack / BIDEN, Joe",,,,247
County of Hawaii,02-07,President,,,Total Blank Votes,,,,1
County of Hawaii,02-07,President,,,Total Over Votes,,,,0
County of Hawaii,02-07,President,,,Total Ballots,,,,307
County of Hawaii,02-07,US Representative,2,REP,"EVANS, Roger B.",,,,44
County of Hawaii,02-07,US Representative,2,,Total Blank Votes,,,,17
County of Hawaii,02-07,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,02-07,US Representative,2,,Total Ballots,,,,307
County of Hawaii,02-07,US Representative,2,DEM,"HIRONO, Mazie",,,,231
County of Hawaii,02-07,US Representative,2,,Total Blank Votes,,,,17
County of Hawaii,02-07,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,02-07,US Representative,2,,Total Ballots,,,,307
County of Hawaii,02-07,US Representative,2,LIB,"MALLAN, Lloyd J. (Jeff)",,,,7
County of Hawaii,02-07,US Representative,2,,Total Blank Votes,,,,17
County of Hawaii,02-07,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,02-07,US Representative,2,,Total Ballots,,,,307
County of Hawaii,02-07,US Representative,2,,"STENSHOL, Shaun",,,,8
County of Hawaii,02-07,US Representative,2,,Total Blank Votes,,,,17
County of Hawaii,02-07,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,02-07,US Representative,2,,Total Ballots,,,,307
County of Hawaii,02-07,State Senate,1,REP,"HONG, Ted H.S.",,,,117
County of Hawaii,02-07,State Senate,1,,Total Blank Votes,,,,6
County of Hawaii,02-07,State Senate,1,,Total Over Votes,,,,0
County of Hawaii,02-07,State Senate,1,,Total Ballots,,,,307
County of Hawaii,02-07,State Senate,1,DEM,"TAKAMINE, Dwight Y.",,,,184
County of Hawaii,02-07,State Senate,1,,Total Blank Votes,,,,6
County of Hawaii,02-07,State Senate,1,,Total Over Votes,,,,0
County of Hawaii,02-07,State Senate,1,,Total Ballots,,,,307
County of Hawaii,02-08,President,,CON,"BALDWIN, Chuck / CASTLE, Darrell L.",,,,1
County of Hawaii,02-08,President,,,Total Blank Votes,,,,1
County of Hawaii,02-08,President,,,Total Over Votes,,,,0
County of Hawaii,02-08,President,,,Total Ballots,,,,432
County of Hawaii,02-08,President,,LIB,"BARR, Bob / ROOT, Wayne A.",,,,2
County of Hawaii,02-08,President,,,Total Blank Votes,,,,1
County of Hawaii,02-08,President,,,Total Over Votes,,,,0
County of Hawaii,02-08,President,,,Total Ballots,,,,432
County of Hawaii,02-08,President,,REP,"McCAIN, John / PALIN, Sarah",,,,73
County of Hawaii,02-08,President,,,Total Blank Votes,,,,1
County of Hawaii,02-08,President,,,Total Over Votes,,,,0
County of Hawaii,02-08,President,,,Total Ballots,,,,432
County of Hawaii,02-08,President,,GRE,"McKINNEY, Cynthia / CLEMENTE, Rosa",,,,1
County of Hawaii,02-08,President,,,Total Blank Votes,,,,1
County of Hawaii,02-08,President,,,Total Over Votes,,,,0
County of Hawaii,02-08,President,,,Total Ballots,,,,432
County of Hawaii,02-08,President,,IND,"NADER, Ralph / GONZALEZ, Matt",,,,4
County of Hawaii,02-08,President,,,Total Blank Votes,,,,1
County of Hawaii,02-08,President,,,Total Over Votes,,,,0
County of Hawaii,02-08,President,,,Total Ballots,,,,432
County of Hawaii,02-08,President,,DEM,"OBAMA, Barack / BIDEN, Joe",,,,350
County of Hawaii,02-08,President,,,Total Blank Votes,,,,1
County of Hawaii,02-08,President,,,Total Over Votes,,,,0
County of Hawaii,02-08,President,,,Total Ballots,,,,432
County of Hawaii,02-08,US Representative,2,REP,"EVANS, Roger B.",,,,47
County of Hawaii,02-08,US Representative,2,,Total Blank Votes,,,,27
County of Hawaii,02-08,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,02-08,US Representative,2,,Total Ballots,,,,432
County of Hawaii,02-08,US Representative,2,DEM,"HIRONO, Mazie",,,,350
County of Hawaii,02-08,US Representative,2,,Total Blank Votes,,,,27
County of Hawaii,02-08,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,02-08,US Representative,2,,Total Ballots,,,,432
County of Hawaii,02-08,US Representative,2,LIB,"MALLAN, Lloyd J. (Jeff)",,,,4
County of Hawaii,02-08,US Representative,2,,Total Blank Votes,,,,27
County of Hawaii,02-08,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,02-08,US Representative,2,,Total Ballots,,,,432
County of Hawaii,02-08,US Representative,2,,"STENSHOL, Shaun",,,,4
County of Hawaii,02-08,US Representative,2,,Total Blank Votes,,,,27
County of Hawaii,02-08,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,02-08,US Representative,2,,Total Ballots,,,,432
County of Hawaii,02-08,State Senate,1,REP,"HONG, Ted H.S.",,,,161
County of Hawaii,02-08,State Senate,1,,Total Blank Votes,,,,14
County of Hawaii,02-08,State Senate,1,,Total Over Votes,,,,1
County of Hawaii,02-08,State Senate,1,,Total Ballots,,,,432
County of Hawaii,02-08,State Senate,1,DEM,"TAKAMINE, Dwight Y.",,,,256
County of Hawaii,02-08,State Senate,1,,Total Blank Votes,,,,14
County of Hawaii,02-08,State Senate,1,,Total Over Votes,,,,1
County of Hawaii,02-08,State Senate,1,,Total Ballots,,,,432
County of Hawaii,03-01,President,,CON,"BALDWIN, Chuck / CASTLE, Darrell L.",,,,6
County of Hawaii,03-01,President,,,Total Blank Votes,,,,4
County of Hawaii,03-01,President,,,Total Over Votes,,,,0
County of Hawaii,03-01,President,,,Total Ballots,,,,772
County of Hawaii,03-01,President,,LIB,"BARR, Bob / ROOT, Wayne A.",,,,1
County of Hawaii,03-01,President,,,Total Blank Votes,,,,4
County of Hawaii,03-01,President,,,Total Over Votes,,,,0
County of Hawaii,03-01,President,,,Total Ballots,,,,772
County of Hawaii,03-01,President,,REP,"McCAIN, John / PALIN, Sarah",,,,143
County of Hawaii,03-01,President,,,Total Blank Votes,,,,4
County of Hawaii,03-01,President,,,Total Over Votes,,,,0
County of Hawaii,03-01,President,,,Total Ballots,,,,772
County of Hawaii,03-01,President,,GRE,"McKINNEY, Cynthia / CLEMENTE, Rosa",,,,2
County of Hawaii,03-01,President,,,Total Blank Votes,,,,4
County of Hawaii,03-01,President,,,Total Over Votes,,,,0
County of Hawaii,03-01,President,,,Total Ballots,,,,772
County of Hawaii,03-01,President,,IND,"NADER, Ralph / GONZALEZ, Matt",,,,7
County of Hawaii,03-01,President,,,Total Blank Votes,,,,4
County of Hawaii,03-01,President,,,Total Over Votes,,,,0
County of Hawaii,03-01,President,,,Total Ballots,,,,772
County of Hawaii,03-01,President,,DEM,"OBAMA, Barack / BIDEN, Joe",,,,609
County of Hawaii,03-01,President,,,Total Blank Votes,,,,4
County of Hawaii,03-01,President,,,Total Over Votes,,,,0
County of Hawaii,03-01,President,,,Total Ballots,,,,772
County of Hawaii,03-01,US Representative,2,REP,"EVANS, Roger B.",,,,118
County of Hawaii,03-01,US Representative,2,,Total Blank Votes,,,,64
County of Hawaii,03-01,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,03-01,US Representative,2,,Total Ballots,,,,772
County of Hawaii,03-01,US Representative,2,DEM,"HIRONO, Mazie",,,,571
County of Hawaii,03-01,US Representative,2,,Total Blank Votes,,,,64
County of Hawaii,03-01,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,03-01,US Representative,2,,Total Ballots,,,,772
County of Hawaii,03-01,US Representative,2,LIB,"MALLAN, Lloyd J. (Jeff)",,,,8
County of Hawaii,03-01,US Representative,2,,Total Blank Votes,,,,64
County of Hawaii,03-01,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,03-01,US Representative,2,,Total Ballots,,,,772
County of Hawaii,03-01,US Representative,2,,"STENSHOL, Shaun",,,,11
County of Hawaii,03-01,US Representative,2,,Total Blank Votes,,,,64
County of Hawaii,03-01,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,03-01,US Representative,2,,Total Ballots,,,,772
County of Hawaii,03-01,State Representative,3,REP,"TAVARES, Deirdre (Moana)",,,,140
County of Hawaii,03-01,State Representative,3,,Total Blank Votes,,,,60
County of Hawaii,03-01,State Representative,3,,Total Over Votes,,,,0
County of Hawaii,03-01,State Representative,3,,Total Ballots,,,,772
County of Hawaii,03-01,State Representative,3,DEM,"TSUJI, Clifton (Clift)",,,,572
County of Hawaii,03-01,State Representative,3,,Total Blank Votes,,,,60
County of Hawaii,03-01,State Representative,3,,Total Over Votes,,,,0
County of Hawaii,03-01,State Representative,3,,Total Ballots,,,,772
County of Hawaii,03-02,President,,CON,"BALDWIN, Chuck / CASTLE, Darrell L.",,,,0
County of Hawaii,03-02,President,,,Total Blank Votes,,,,0
County of Hawaii,03-02,President,,,Total Over Votes,,,,0
County of Hawaii,03-02,President,,,Total Ballots,,,,171
County of Hawaii,03-02,President,,LIB,"BARR, Bob / ROOT, Wayne A.",,,,0
County of Hawaii,03-02,President,,,Total Blank Votes,,,,0
County of Hawaii,03-02,President,,,Total Over Votes,,,,0
County of Hawaii,03-02,President,,,Total Ballots,,,,171
County of Hawaii,03-02,President,,REP,"McCAIN, John / PALIN, Sarah",,,,39
County of Hawaii,03-02,President,,,Total Blank Votes,,,,0
County of Hawaii,03-02,President,,,Total Over Votes,,,,0
County of Hawaii,03-02,President,,,Total Ballots,,,,171
County of Hawaii,03-02,President,,GRE,"McKINNEY, Cynthia / CLEMENTE, Rosa",,,,0
County of Hawaii,03-02,President,,,Total Blank Votes,,,,0
County of Hawaii,03-02,President,,,Total Over Votes,,,,0
County of Hawaii,03-02,President,,,Total Ballots,,,,171
County of Hawaii,03-02,President,,IND,"NADER, Ralph / GONZALEZ, Matt",,,,2
County of Hawaii,03-02,President,,,Total Blank Votes,,,,0
County of Hawaii,03-02,President,,,Total Over Votes,,,,0
County of Hawaii,03-02,President,,,Total Ballots,,,,171
County of Hawaii,03-02,President,,DEM,"OBAMA, Barack / BIDEN, Joe",,,,130
County of Hawaii,03-02,President,,,Total Blank Votes,,,,0
County of Hawaii,03-02,President,,,Total Over Votes,,,,0
County of Hawaii,03-02,President,,,Total Ballots,,,,171
County of Hawaii,03-02,US Representative,2,REP,"EVANS, Roger B.",,,,17
County of Hawaii,03-02,US Representative,2,,Total Blank Votes,,,,15
County of Hawaii,03-02,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,03-02,US Representative,2,,Total Ballots,,,,171
County of Hawaii,03-02,US Representative,2,DEM,"HIRONO, Mazie",,,,136
County of Hawaii,03-02,US Representative,2,,Total Blank Votes,,,,15
County of Hawaii,03-02,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,03-02,US Representative,2,,Total Ballots,,,,171
County of Hawaii,03-02,US Representative,2,LIB,"MALLAN, Lloyd J. (Jeff)",,,,1
County of Hawaii,03-02,US Representative,2,,Total Blank Votes,,,,15
County of Hawaii,03-02,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,03-02,US Representative,2,,Total Ballots,,,,171
County of Hawaii,03-02,US Representative,2,,"STENSHOL, Shaun",,,,2
County of Hawaii,03-02,US Representative,2,,Total Blank Votes,,,,15
County of Hawaii,03-02,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,03-02,US Representative,2,,Total Ballots,,,,171
County of Hawaii,03-02,State Representative,3,REP,"TAVARES, Deirdre (Moana)",,,,11
County of Hawaii,03-02,State Representative,3,,Total Blank Votes,,,,4
County of Hawaii,03-02,State Representative,3,,Total Over Votes,,,,0
County of Hawaii,03-02,State Representative,3,,Total Ballots,,,,171
County of Hawaii,03-02,State Representative,3,DEM,"TSUJI, Clifton (Clift)",,,,156
County of Hawaii,03-02,State Representative,3,,Total Blank Votes,,,,4
County of Hawaii,03-02,State Representative,3,,Total Over Votes,,,,0
County of Hawaii,03-02,State Representative,3,,Total Ballots,,,,171
County of Hawaii,03-03,President,,CON,"BALDWIN, Chuck / CASTLE, Darrell L.",,,,0
County of Hawaii,03-03,President,,,Total Blank Votes,,,,1
County of Hawaii,03-03,President,,,Total Over Votes,,,,0
County of Hawaii,03-03,President,,,Total Ballots,,,,168
County of Hawaii,03-03,President,,LIB,"BARR, Bob / ROOT, Wayne A.",,,,1
County of Hawaii,03-03,President,,,Total Blank Votes,,,,1
County of Hawaii,03-03,President,,,Total Over Votes,,,,0
County of Hawaii,03-03,President,,,Total Ballots,,,,168
County of Hawaii,03-03,President,,REP,"McCAIN, John / PALIN, Sarah",,,,34
County of Hawaii,03-03,President,,,Total Blank Votes,,,,1
County of Hawaii,03-03,President,,,Total Over Votes,,,,0
County of Hawaii,03-03,President,,,Total Ballots,,,,168
County of Hawaii,03-03,President,,GRE,"McKINNEY, Cynthia / CLEMENTE, Rosa",,,,0
County of Hawaii,03-03,President,,,Total Blank Votes,,,,1
County of Hawaii,03-03,President,,,Total Over Votes,,,,0
County of Hawaii,03-03,President,,,Total Ballots,,,,168
County of Hawaii,03-03,President,,IND,"NADER, Ralph / GONZALEZ, Matt",,,,0
County of Hawaii,03-03,President,,,Total Blank Votes,,,,1
County of Hawaii,03-03,President,,,Total Over Votes,,,,0
County of Hawaii,03-03,President,,,Total Ballots,,,,168
County of Hawaii,03-03,President,,DEM,"OBAMA, Barack / BIDEN, Joe",,,,132
County of Hawaii,03-03,President,,,Total Blank Votes,,,,1
County of Hawaii,03-03,President,,,Total Over Votes,,,,0
County of Hawaii,03-03,President,,,Total Ballots,,,,168
County of Hawaii,03-03,US Representative,2,REP,"EVANS, Roger B.",,,,20
County of Hawaii,03-03,US Representative,2,,Total Blank Votes,,,,9
County of Hawaii,03-03,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,03-03,US Representative,2,,Total Ballots,,,,168
County of Hawaii,03-03,US Representative,2,DEM,"HIRONO, Mazie",,,,138
